timestamp,lag_ms
13991.0604035,9.3770
13991.1679985,7.4706
13991.2755697,7.5281
13991.3830912,7.4337
13991.4912283,8.0171
13991.5983497,7.0344
13991.7054052,7.0171
13991.8131285,7.6671
13991.9219317,8.6975
13992.0325605,10.5761
13992.1426499,10.0173
13992.2505715,7.8361
13992.3606409,9.9611
13992.4706596,9.9713
13992.5780606,7.3063
13992.6849666,6.8057
13992.7920008,6.9697
13992.9008147,8.7432
13993.0085253,7.6721
13993.1161733,7.5271
13993.224797,8.5365
13993.3319319,7.0482
13993.441546,9.5686
13993.547976,6.3201
13993.6550012,6.9392
13993.7624054,7.3693
13993.8698403,7.3646
13993.9775493,7.6615
13994.0842548,6.6597
13994.1923356,8.0278
13994.2991931,6.8251
13994.4061917,6.7548
13994.5134093,7.1825
13994.6209241,7.4625
13994.7284447,7.4145
13994.8352092,6.6797
13994.9430066,7.7363
13995.0500327,6.9595
13995.157309,7.2232
13995.2641811,6.8032
13995.371901,7.6467
13995.4786324,6.6204
13995.5863057,7.5392
13995.6938603,7.4981
13995.8004657,6.5485
13995.9067407,6.2231
13996.0137447,6.9665
13996.1212259,7.3888
13996.2291363,7.8259
13996.3359727,6.7380
13996.4434167,7.3759
13996.5503469,6.8848
13996.651893,1.4530
13996.7543586,2.4475
13996.8550191,0.6419
13996.9585474,3.5101
13997.0586856,0.1189
13997.1643316,5.6259
13997.2749146,10.5706
13997.3826472,7.6344
13997.4912512,8.5011
13997.5976853,6.3163
13997.7016235,3.9265
13997.810355,8.7184
13997.9190563,8.6894
13998.0283882,9.3198
13998.1353546,6.8514
13998.2441373,8.7695
13998.3512877,7.0798
13998.4563957,5.0220
13998.5645175,8.1101
13998.6689557,4.4254
13998.7730527,4.0853
13998.8812348,8.1667
13998.9851119,3.8593
13999.0872574,2.1312
13999.194814,7.5330
13999.3027937,7.9637
13999.4050665,2.1778
13999.5147857,9.7033
13999.6165829,1.7827
13999.7203192,3.7129
13999.8239645,3.6243
13999.9318424,7.7855
14000.0338069,1.8963
14000.140035,6.2080
14000.2550765,15.0239
14000.3616881,6.5001
14000.4699454,8.1857
14000.5782434,8.2201
14000.6853391,6.9914
14000.7939253,8.5117
14000.9011133,7.1282
14001.0078476,6.6589
14001.116234,8.2622
14001.2204229,4.0664
14001.331269,10.8338
14001.4394719,8.1338
14001.547434,7.9106
14001.6558649,8.3451
14001.763913,7.9824
14001.8722886,8.2801
14001.9784994,6.1494
14002.0861641,7.6175
14002.1907821,4.6013
14002.3017676,10.9609
14002.4067137,4.9243
14002.5133238,6.5983
14002.61433,0.9814
14002.7171079,2.7638
14002.823267,6.0893
14002.9310216,7.6779
14003.0386491,7.5357
14003.1462276,7.4894
14003.2542406,7.9212
14003.3610147,6.6643
14003.4671237,6.0957
14003.5707697,3.6202
14003.6721642,1.3809
14003.7769979,4.8213
14003.8837005,6.6888
14003.9882473,4.4177
14004.0947656,6.4948
14004.1995263,4.7470
14004.3039222,4.3676
14004.4053799,1.4445
14004.51181,6.3425
14004.6148903,2.9619
14004.7188575,3.9560
14004.8225732,3.6956
14004.9264797,3.8887
14005.0316293,5.0340
14005.1377291,6.0852
14005.2449614,7.2095
14005.3540767,9.1013
14005.461259,7.1561
14005.5691129,7.8409
14005.6713689,2.2420
14005.7815259,10.1283
14005.8912472,9.7096
14005.9971083,5.8464
14006.105258,8.1232
14006.2080802,2.8071
14006.309292,1.1994
14006.4166473,7.2101
14006.5223286,5.5810
14006.6279566,5.6104
14006.7396035,11.6329
14006.842054,2.4042
14006.9455841,3.4956
14007.0486922,3.0932
