latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization
2.531379001084133,1,395.0415957356533,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.5297399988630787,1,395.29754063635875,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.527340000597178,1,395.6729208431445,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.541734000260476,1,393.4322001820491,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.542360000006738,1,393.3353262312771,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.52669200017408,1,395.77439590227203,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.52779399852443,1,395.60185702780296,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
2.537855998525629,1,394.03338904214877,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32
17.056768998372718,1,58.627750665756444,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
17.007312999339774,1,58.79823579649649,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
15.77099700079998,1,63.40753219021443,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
17.33109999986482,1,57.699742082602945,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
15.98656900023343,1,62.552508920794594,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
15.762458000608603,1,63.441881967989325,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.118692999953055,1,62.039769601847524,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
15.628107001248281,1,63.987276252979704,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.44723699973838,1,60.80048582116903,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.159583999979077,1,61.88278114098078,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.089679000288015,1,62.15164391919188,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.483560000779107,1,60.66650650422204,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.415086000051815,1,60.919571179635824,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.532034000192652,1,60.48862469000165,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.606430001047556,1,60.21763858559116,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.376486000808654,1,61.06316092173993,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.57798899941554,1,60.320947253328214,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.524251999726403,1,60.51711145633444,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.204823999942164,1,61.71001918956782,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.4493410011346,1,60.79270895600162,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.62503500119783,1,60.150249303412004,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.379602999222698,1,61.051540751473375,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
17.874048000521725,1,55.9470356111168,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.483206998600508,1,60.6678057300927,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.02813700083061,1,62.39028278509087,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.720311999961268,1,59.80749641527721,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.43831900037185,1,60.83347086629595,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
16.88598200053093,1,59.220719290625674,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
17.77375699930417,1,56.26272487235813,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
15.928999999232474,1,62.7785799515465,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp32
3.5301799998705974,1,283.27167454256045,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.7007320006523514,1,270.21681111297,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.624938000939437,1,275.8667871673503,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.637630001321668,1,274.90426448997505,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.571160999854328,1,280.0209791831819,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5696890008694027,1,280.1364487932839,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.641096998762805,1,274.6425048109914,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.6467940008151345,1,274.21345976122564,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5564080008043675,1,281.1825864112964,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.6060170004930114,1,277.31427773725994,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5680319997482,1,280.2665447144451,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.7345229993661633,1,267.7718145449161,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5588639984780457,1,280.9885402835432,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.6510649988485966,1,273.89268619303164,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.642371999376337,1,274.54636708475255,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.670223999506561,1,272.4629341790702,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.55665699862584,1,281.1629011137039,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5944139999628533,1,278.2094661356022,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5604980002972297,1,280.8595875960386,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.63840400132176,1,274.8457839307344,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5892739997507306,1,278.6078744808695,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.556882000339101,1,281.1451152736198,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.6499399993772386,1,273.9771065197297,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.601279000577051,1,277.6791245109765,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.537403999871458,1,282.6931840514507,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.6979849992349045,1,270.4175382558056,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5868020004272694,1,278.7998891159527,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.673101999083883,1,272.2494502601377,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.5060690006503137,1,285.21971467604254,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
3.499164000459132,1,285.7825468794227,ok,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp32
