backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold
transformers-gpu-compile,402.13735652494296,434953.44480895996,72531,5.996793713156581,0.0,True,,
onnxruntime-cpu,402.1363359107574,434953.2607269287,72531,5.996791175179285,-2.5379740752834365e-06,True,['CPUExecutionProvider'],0.001
onnxruntime-gpu,402.13656433048436,434953.3019256592,72531,5.996791743194761,-1.9699598799849723e-06,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001
tensorrt-fp32,402.13723728113416,434953.4233016968,72531,5.996793416631465,-2.965250724960023e-07,True,,0.001
tensorrt-fp16,402.10284036606924,434947.21907806396,72531,5.996707877708345,-8.583176447964061e-05,True,,0.005
tensorrt-int8,402.1372224761231,434953.4206314087,72531,5.996793379815647,-3.333408788920367e-07,True,,0.02
