scenario,prompt_set,backend,model,quantization,latency_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.7074000002649,95.7074000002649,64,668.7048232406571,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,127.66560000000027,127.66560000000027,64,501.3096715168367,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,89.58929999971588,89.58929999971588,64,714.3710242205594,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,91.78440000005139,91.78440000005139,64,697.2862490789738,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.77420000009806,93.77420000009806,64,682.4904931199954,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.15390000003754,94.15390000003754,64,679.7381733520808,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.90400000004229,94.90400000004229,64,674.3656747868529,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,90.94640000012078,90.94640000012078,64,703.7111969238475,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,92.91050000001633,92.91050000001633,64,688.8349540685795,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,89.40110000003187,89.40110000003187,64,715.874860599894,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,89.97730000010051,89.97730000010051,64,711.2905143845004,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,88.84059999991223,88.84059999991223,64,720.3913526030129,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.94129999995494,99.94129999995494,64,640.3759006539725,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,90.08720000019821,90.08720000019821,64,710.4227903615517,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,89.91090000017721,89.91090000017721,64,711.8158087603823,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,185.703999999987,185.703999999987,64,344.63447206309223,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,182.8841999999895,182.8841999999895,64,349.9482185995492,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,91.87929999961852,91.87929999961852,64,696.5660382726655,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.47299999985626,95.47299999985626,64,670.3465901364402,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.50560000025143,95.50560000025143,64,670.1177731968754,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.87490000017351,93.87490000017351,64,681.7583826974166,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.22179999981017,93.22179999981017,64,686.5346946758197,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.025800000054,94.025800000054,64,680.6642432179598,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.05130000029749,93.05130000029749,64,687.7926477093323,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.5125000004009,99.5125000004009,64,643.135284509405,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,158.16240000003745,158.16240000003745,64,404.6473751029628,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,127.61319999981424,127.61319999981424,64,501.5155172042795,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766334728375.json
