backend,backend_kind,batch_size,mode,aggregation,fit,n_models,ok,a_ms,b_ms_per_million_params,r2,overhead_fraction_at_min_model,overhead_fraction_at_max_model,b,s
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,271.83177722710394,3.7255944421032114,0.5671112697354923,0.9354267081712987,0.43160377361919483,,
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,317.49874314799587,,0.5967036013249958,0.9910157934488915,0.4820395423481957,0.2098980147667187,1.6195063463562642
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,259.6791361558921,3.56217668069153,0.5722960640178942,0.9353734119886368,0.43138741369920547,,
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,303.2011873123358,,0.6017553736343597,0.990911668833087,0.4817566382831514,0.20396071365173735,1.6159469023609476
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,11.338818805276361,0.1622537098515041,0.6620138755075462,0.93277200893946,0.42105559391541764,,
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,13.82363006294963,,0.726332061291348,0.9961965996162085,0.4809753974902698,0.0023898140616803,1.9142479202591896
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,159.04897340572188,-0.4121433773615278,0.06426964802902513,1.01322424346955,1.3315464445537477,,
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,138.47159985219204,,-2.220446049250313e-15,0.9990319956386348,0.9990319956386327,0.13417099068612223,7.740003687788529e-13
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,153.82052812336406,-0.40946295819734446,0.06764617811728124,1.0135897142413999,1.3436933079808466,,
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,133.3843047724954,,-1.5543122344752192e-15,0.9990564376956521,0.9990564376956507,0.12597526748855326,5.115801677005691e-13
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,5.5302933966602446,-0.00856252534860326,0.03376592694491276,1.007859620046417,1.1747748502081565,,
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,5.10557296561792,,1.1102230246251565e-16,0.9999998715387461,0.9999998715387461,6.558683891303888e-07,1.318471494130302e-13
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,3,True,-37.97442478512918,0.07205096161942467,0.9771725866504234,,-0.025870063405978926,,
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,3,True,63.896059305880314,,1.0,0.9695308711064895,0.04218934459888546,0.000429899613943377,1.5111025119143369
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P,3,True,-35.66264367457203,0.06932010857348139,0.9776521194018996,,-0.025236675747295875,,
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,3,True,61.4059864355743,,1.0,0.9685501288959912,0.04213124825063045,0.0004443493247972056,1.5039277461109726
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P,3,True,-0.8762904595847586,0.002302841713161205,0.9752601014776516,,-0.018544612620828498,,
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P^s,3,True,2.5008730228288685,,1.0,0.9778591828033377,0.05124141466034144,1.0339472746136847e-05,1.5395607963824007
