backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
ollama,gemma3:1b-it-qat,medium,e2e_kv,1,277.00960000000003,5,258.4562,1.0717854708070458,18.55340000000001
ollama,gemma3:270m,medium,e2e_kv,1,445.9472,5,122.7803,3.6320745266137973,323.1669
ollama,gemma3:latest,medium,e2e_kv,1,534.85,5,517.3203,1.0338855830710685,17.529700000000048
ollama,gemma3:1b-it-qat,short,e2e_kv,1,272.19311176470586,5,258.4018117647059,1.0533715298117103,13.791299999999978
ollama,gemma3:270m,short,e2e_kv,1,125.44450810810812,5,125.8678,0.9966370120722545,-0.42329189189187844
ollama,gemma3:latest,short,e2e_kv,1,551.2607714285714,5,520.1974219512196,1.059714539454724,31.063349477351835
ollama,gemma3:1b-it-qat,medium,kv_decode,1,265.0108,5,254.1821,1.0426021344539997,10.828700000000026
ollama,gemma3:270m,medium,kv_decode,1,394.0526,5,120.4924,3.2703523209762606,273.5602
ollama,gemma3:latest,medium,kv_decode,1,516.3649,5,507.9475,1.0165713976345983,8.417400000000043
ollama,gemma3:1b-it-qat,short,kv_decode,1,261.06221176470586,5,254.43821176470587,1.0260338254779342,6.623999999999995
ollama,gemma3:270m,short,kv_decode,1,117.31130810810812,5,123.4968,0.9499137476283445,-6.185491891891871
ollama,gemma3:latest,short,kv_decode,1,530.3789714285714,5,511.9775219512195,1.035941908947919,18.40144947735189
ollama,gemma3:1b-it-qat,medium,prefill,1,11.9988,5,4.5946,2.611500457058286,7.4041999999999994
ollama,gemma3:270m,medium,prefill,1,51.8946,5,2.1624,23.998612652608212,49.7322
ollama,gemma3:latest,medium,prefill,1,18.4851,5,9.4418,1.9577940646910545,9.043299999999999
ollama,gemma3:1b-it-qat,short,prefill,1,11.1309,5,4.3922,2.5342425208323847,6.738700000000001
ollama,gemma3:270m,short,prefill,1,8.1332,5,2.371,3.430282581189372,5.7622
ollama,gemma3:latest,short,prefill,1,20.8818,5,8.8552,2.3581398500316197,12.026599999999998
