backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu-compile,fp32,single_long,60,1.175389066641704,1.0695434998524433,0.24490211623008093,0.8948060003604041,1.7900419998113648,1.3959139995677106,1.4815221999469934,1.773378039497402
transformers-gpu,fp32,single_long,60,2.300554499940214,2.1299879999787663,0.749257085404193,1.953727999534749,6.829639999523351,2.481490599984682,2.5039071997071,6.042441349891301
transformers-gpu-compile,fp32,single_medium,60,1.1354483500175168,1.1139060002278711,0.07032836987683778,1.0498009996808833,1.4370890003192471,1.2202101994262193,1.2707393493656127,1.3527897999847478
transformers-gpu,fp32,single_medium,60,2.3885274666554324,2.301637499840581,0.36680210386797596,2.0075070005987072,4.314688999329519,2.688586599924747,2.8810385993892846,3.776586579315332
transformers-gpu-compile,fp32,single_micro,60,0.3160292166133634,0.30197449996194337,0.03436624461080904,0.2814849995047552,0.4501670000536251,0.36129429936408997,0.3951252995648246,0.4197884901623181
transformers-gpu,fp32,single_micro,60,1.7263707333919835,1.6922814997997193,0.2185583676006404,1.4662210005553789,3.079791000345722,1.9210207001378878,1.9616014506027564,2.5070378802774904
transformers-gpu-compile,fp32,single_short,60,0.7172263166315437,0.616282500232046,0.1593117256452996,0.5421469995781081,0.9545679995426326,0.8969608004008478,0.9003276997646025,0.9499866499663767
transformers-gpu,fp32,single_short,60,2.0648337166676356,2.049938499567361,0.20034386279473473,1.751439000145183,2.9038760003459174,2.270118100386753,2.3488900493248366,2.6599776699549675
transformers-gpu,fp32,stress_single,30,2.472934599912454,2.275267999721109,0.5208546860733958,2.0379870002216194,4.192712000076426,3.2342606999918644,3.4422059998632895,4.015812580055354
transformers-gpu-compile,fp32,stress_single,30,2.7057484667238896,2.578252499915834,0.4313502550725589,2.106225000716222,3.8662350007143687,3.379150999990088,3.487506300280074,3.7778873706793097
