scenario,prompt_set,backend,model,quantization,latency_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.577608000137843,2.577608000137843,1,387.95658608544153,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,3.642674999355222,3.642674999355222,1,274.523530146666,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,3.105267000137246,3.105267000137246,1,322.0334998426229,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.773553999759315,2.773553999759315,1,360.5482352558409,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2895780002727406,2.2895780002727406,1,436.7617088742455,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2472009995908593,2.2472009995908593,1,444.99802206481166,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.218972999799007,2.218972999799007,1,450.6589309967175,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.57019200034847,2.57019200034847,1,389.0759911572437,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2307719991658814,2.2307719991658814,1,448.2753057568926,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.425061999929312,2.425061999929312,1,412.3605912051522,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.4197960001401952,2.4197960001401952,1,413.25797709478945,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.184309999393008,2.184309999393008,1,457.8104757465228,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.3917139997138293,2.3917139997138293,1,418.1101921549361,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.5023270000019693,2.5023270000019693,1,399.6280262328677,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.378029000283277,2.378029000283277,1,420.51631829589854,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.180297000450082,2.180297000450082,1,458.65311000912646,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.3101679998944746,2.3101679998944746,1,432.86895154191325,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.9490229997245478,1.9490229997245478,1,513.0775779153598,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2332890002871864,2.2332890002871864,1,447.77008254256685,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.151567000510113,2.151567000510113,1,464.77753180026974,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.3509630000262405,2.3509630000262405,1,425.35760877089024,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.0734420004373533,2.0734420004373533,1,482.28983486833437,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.0626060004360625,2.0626060004360625,1,484.82356775292357,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2209489998203935,2.2209489998203935,1,450.25797534336414,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_182322/prefill/runs/single_micro/transformers-gpu/fp32/run_1766341416055.json
