backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-gpu,single_short,1,1,0,0.0,580.7772018022675,580.7772018022675,1.7322500002592278,1.7322500002592278,69.01490000018384,69.01490000018384,13.781900000140013,13.781900000140013,,13.781900000140013,13.781900000140013,13.781900000140013,13.781900000140013,,,1
tensorrt-fp16,single_short,1,0,1,1.0,,,,,,,,,,,,,,,,0
transformers-gpu-compile,single_short,1,1,0,0.0,366.8649562541751,366.8649562541751,135.24969999980385,135.24969999980385,1951.0964999999487,1951.0964999999487,146.18139999993218,146.18139999993218,,146.18139999993218,146.18139999993218,146.18139999993218,146.18139999993218,,,1
