latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
3.466276000835933,1,288.4940494521609,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.4623329993337393,1,288.82259453161527,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.4679510026762728,1,288.35470836476185,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.4679349992075004,1,288.3560390343308,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.5263370009488426,1,283.58038376108885,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.5051509985351004,1,285.2944139690209,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.5052659986831713,1,285.28505408025285,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.5229460008849856,1,283.85334312498514,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.4662939979170915,1,288.49255158417134,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
4.10317600108101,1,243.71365004487816,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.470919997198507,1,288.1080522763799,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
8.68230199921527,9,1036.5914478456802,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
6.630796997342259,11,1658.925767808756,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
5.6350419981754385,9,1597.148699675015,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
4.604525998729514,11,2388.9538256565675,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.920250997907715,9,2295.7713689259713,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.828241999144666,11,2873.3815684739106,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.791253002418671,9,2373.885360396247,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.927792997274082,11,2800.5549191706596,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8253249986155424,9,2352.7412712010796,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.808140001638094,11,2888.5492642781737,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7636249981005676,9,2391.311569176561,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8875129976077005,11,2829.572533074278,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.820070000074338,9,2355.977769995016,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7949779980408493,11,2898.5675294240787,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7413669997476973,9,2405.5378690748394,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
