backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
hf_gpu_fp16,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.566413395529939,-0.1204362064516393,0.1035768282112207,-0.1428571428571428,0.7871720116618075,-0.0981885648799014,2.5623429000775584,-0.7203261291387831,1.3987415599940047,-0.3219099552961205,0.9408005985897347,0.7854255376064329,2.7999901743367723,1000,1000,64
hf_gpu_fp16,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.5596680437529504,-0.1214097906153447,0.1049809295053605,-0.1428571428571428,0.7871720116618075,-0.0996385008538215,2.556494571931384,-0.7214098544203119,1.4028132922557672,-0.3229800200152112,0.9418156362801976,0.7757785006552225,2.80024752572608,1000,1000,64
hf_gpu_fp16,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.7841383612569462,-0.0840043253501083,0.0632537927076281,0.0857142857142857,0.8717434402332361,0.0195223673291371,0.6391033105754844,-0.6460548136903311,1.101542881576681,-0.2599053994841914,0.8497311322159239,-0.7961365969713309,0.987276530026364,1000,1000,64
ollama,ollama,1.0,e2e_kv,__all__,geomean_across_scenarios,3,True,0.4149770075520922,0.6806661338878334,0.9371953470758828,1.0,0.0,0.7351485231437993,0.0110808067175769,0.5173949965273027,1.4550827674780074,0.3690019012219483,1.4550827674780091,-2.7828497942430244,1.751660309830646,1000,1000,64
ollama,ollama,1.0,kv_decode,__all__,geomean_across_scenarios,3,True,0.4057864630260214,0.6811357138357848,0.9375140219375444,1.0,0.0,0.7355079513985374,0.0027068535894221,0.5181946756592055,1.4539866432671025,0.3681027239095415,1.4539866432671047,-2.785575019578236,1.7479299886936124,1000,1000,64
ollama,ollama,1.0,prefill,__all__,geomean_across_scenarios,3,True,-1.3202000954713953,0.6694999667177168,0.9227892645050548,1.0,0.0,0.7293796219817942,-1.764108037078286,0.4900544696821451,1.5206337309196745,0.0730277230332407,1.5206337309196762,-4.834817737992444,0.8672712135876951,1000,1000,64
hf_cpu_fp32,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.856470426791526,0.2097564011783007,0.4011003360874704,0.942857142857143,0.004804664723032,0.6091249804966387,2.160021506795541,0.0422528289937579,1.439538428814293,0.0560246649129126,0.8065595273927716,1.8228373100573467,3.040560394298664,1000,1000,128
hf_cpu_fp32,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.8524366773443903,0.2093475599316041,0.4008156377750778,0.942857142857143,0.004804664723032,0.6082749767125173,2.15658417699811,0.0416216551328962,1.4458223312718128,0.0555893038359928,0.8044665058093723,1.8180592044928776,3.036482466859042,1000,1000,128
hf_cpu_fp32,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.8737886608090633,0.2057495999478623,0.3747679447477835,0.942857142857143,0.004804664723032,0.5927457057050891,0.2193173943725331,0.070242502751302,1.0182392354797307,0.0545697428572108,0.9608575928901876,-0.4019287097192178,1.0521611282467986,1000,1000,128
hf_gpu_fp16,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.873280683067481,-0.1279366592399538,0.108391347611538,-0.1428571428571428,0.7871720116618075,-0.086237966247264,2.8392397553973314,-0.7588327284340519,1.3480222416589671,-0.3332098308916464,1.0184873113763484,0.9574861492130776,3.10639752889692,1000,1000,128
hf_gpu_fp16,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.8697939982479594,-0.1284445686179758,0.1090826930231327,-0.1428571428571428,0.7871720116618075,-0.0873917775801692,2.8368235932535364,-0.7597307700574961,1.345520451509362,-0.333682031231946,1.019881218133731,0.9511014856766908,3.102784000466698,1000,1000,128
hf_gpu_fp16,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.7860800217013755,-0.0811263989214742,0.055626993302705,-0.0285714285714285,0.9571545189504372,0.1008381002479999,0.5104288484081586,-0.6492923486033206,1.5433993303226727,-0.2764646154056495,0.8958986933808356,-0.8573708981084053,1.0107759332763395,1000,1000,128
ollama,ollama,1.0,e2e_kv,__all__,geomean_across_scenarios,3,True,0.6988496957261404,0.6872057593316648,0.9325650167250804,1.0,0.0,0.7443445456533035,0.2752607336639117,0.5159740134861455,1.4993806135353305,0.4076365803898162,1.499380613535332,-2.654893501234906,1.9113250438983365,1000,1000,128
ollama,ollama,1.0,kv_decode,__all__,geomean_across_scenarios,3,True,0.69478122945158,0.6872956994007057,0.9326716876498666,1.0,0.0,0.7443934826432806,0.2714962369487348,0.5161868303130777,1.4988877328637835,0.4071760350306656,1.4988877328637868,-2.6565553046047103,1.9094294839120989,1000,1000,128
ollama,ollama,1.0,prefill,__all__,geomean_across_scenarios,3,True,-1.281632323174873,0.6639098990609793,0.9097222660940228,1.0,0.0,0.7285774196533029,-1.7610343141910278,0.4701162754408842,1.5830987283990123,0.078982737816637,1.5830987283990146,-5.077272224064957,0.8809729339875894,1000,1000,128
