runtime,peak_efficiency,mean_efficiency,stddev_efficiency,peak_speedup,gain_vs_tr114,gap_vs_tr110
tokio-default,92.94879979419416,89.97442332472285,3.905697757472319,1.858975995883883,-2.7512002058058442,6.301200205805841
tokio-localset,93.56603788304398,88.35762423337306,3.714604669160665,1.8713207576608795,-2.1339621169560274,5.683962116956025
async-std,49.99676735594934,49.99569943206909,0.000809246618097171,0.9999353471189868,-45.703232644050665,49.25323264405066
smol,92.39876498872434,90.51854772553048,1.7729920735367428,1.8479752997744867,-3.301235011275665,6.851235011275662
smol-1kb,92.51760893504165,88.79271451659501,3.7159581299382896,1.850352178700833,-3.1823910649583524,6.73239106495835
