backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,893.7629720737722,883.753600000091,81.34884422357926,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,2242.7151887930977,2247.995299999729,32.419000482695786,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,875.4614804947538,862.3035999999047,73.10430147518471,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,2203.3746050666327,2211.9260999998005,29.04635455670263,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,3,18.10020319748664,20.291400000132853,295.49288385790294,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,3,41.48968488907022,36.06919999992897,128.91110779798498,,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,138.32813342456703,115.16029999984312,525.6095270574938,255.8125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,428.23169154768874,556.9620999999643,169.78328839993358,258.00927734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,135.41397427161672,112.74779999985184,472.62478148397867,255.8125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,420.5820445994732,547.4546999998893,152.17007197953066,258.00927734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,prefill,3,2.8289046480809654,2.412499999991269,1890.6544781803066,255.8125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,prefill,3,7.815030656779951,9.507400000074997,684.3839104584029,258.00927734375,,96.088,96.08832
ollama,ollama,gemma3:270m,ollama,268.1,e2e_kv,3,136.90225695766546,140.1864,592.4135369620597,,151.5612,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,e2e_kv,3,725.5710220743798,726.3095310344828,140.29008359396187,,126.2847,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,e2e_kv,3,3673.2419271209114,3673.899173170732,42.345614538109956,,248.238,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,kv_decode,3,133.93990869344918,136.9471,477.8262179234274,,151.5612,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,kv_decode,3,713.4901412498555,714.0515310344828,89.69990795932799,,126.2847,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,kv_decode,3,3607.641798815726,3611.016273170731,17.74012043573981,,248.238,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,prefill,3,2.879210096300934,2.8173,5625.8690629064795,,151.5612,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,prefill,3,11.949470808638477,12.042,3132.3639832356107,,126.2847,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,prefill,3,65.36404381175767,64.4481,1399.249596209382,,248.238,20900.0,20900.0
