backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,120.79508290972315,147.57989999998244,129.46763763199354,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,382.34695894310926,406.368499999644,40.9027812464167,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,103.27305242031115,129.6319000002768,77.46454484022411,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,325.1758911560542,362.7392999997028,24.602069887649627,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,3,16.585142494210142,16.000999999960186,322.48630019950184,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,3,57.141871530093354,50.09509999990769,93.60003615601951,,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,20.489195612828603,16.299999999773718,763.2829671502968,255.56640625,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,68.61819867371915,91.03480000021592,227.9140858279692,256.69677734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,17.24257213103428,13.76269999991564,463.96790103032777,255.56640625,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,59.27254257191403,79.37760000004346,134.9697457350305,256.69677734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,prefill,3,3.2236901901872805,2.598799999759649,1659.1176340455474,255.56640625,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,prefill,3,9.020595367636218,11.399600000004284,592.9188732296387,256.69677734375,,96.088,96.08832
ollama,ollama,gemma3:270m,ollama,268.1,e2e_kv,3,15.612473057763198,16.4814,1574.3590414586704,,304.6459,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,e2e_kv,3,91.42350984312444,91.3542,498.02809042027883,,242.9826,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,e2e_kv,3,363.0812569137584,363.8879,273.9807423945844,,443.1334,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,kv_decode,3,12.828962034753165,13.6569,623.5890306891779,,304.6459,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,kv_decode,3,79.72352426594985,79.7155,100.34679316625265,,242.9826,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,kv_decode,3,306.7242869170314,307.0102,26.082055908940752,,443.1334,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,prefill,3,2.6857235441408673,2.5436,6031.1713920536895,,304.6459,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,prefill,3,11.564775222227247,11.6414,3236.5602668839265,,242.9826,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,prefill,3,56.330519432638354,56.8777,1623.6422605615326,,443.1334,20900.0,20900.0
