task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,0,True,0,,prefill,ok,,1766549035.7868097,25,48.7032,,389.9502,389.9502,6.092971875,,0,64,808.6802999996507,774.193,283.3702,length,268.1,48.7032,,25,513.3132935823519
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,1,True,0,,kv_decode,ok,,1766549035.7868097,25,48.7032,,389.9502,389.9502,6.092971875,,64,64,808.6802999996507,774.193,283.3702,length,268.1,389.9502,,64,164.12352141376002
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,2,True,0,,e2e_kv,ok,,1766549035.7868097,25,48.7032,,389.9502,389.9502,6.092971875,,64,64,808.6802999996507,774.193,283.3702,length,268.1,438.6534,,89,202.893674139993
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,False,,0,prefill,ok,,1766549036.5956094,25,2.4389,,133.0329,133.0329,2.0786390625,,0,64,502.4194000006901,468.2238,294.7641,length,268.1,2.4389,,25,10250.52277666161
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,False,,0,kv_decode,ok,,1766549036.5956094,25,2.4389,,133.0329,133.0329,2.0786390625,,64,64,502.4194000006901,468.2238,294.7641,length,268.1,133.0329,,64,481.08400252869774
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,False,,0,e2e_kv,ok,,1766549036.5956094,25,2.4389,,133.0329,133.0329,2.0786390625,,64,64,502.4194000006901,468.2238,294.7641,length,268.1,135.4718,,89,656.963294205879
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,6,False,,1,prefill,ok,,1766549037.0981226,25,2.2613,,134.1868,134.1868,2.09666875,,0,64,485.1914000000761,463.6098,290.1596,length,268.1,2.2613,,25,11055.587493919427
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,7,False,,1,kv_decode,ok,,1766549037.0981226,25,2.2613,,134.1868,134.1868,2.09666875,,64,64,485.1914000000761,463.6098,290.1596,length,268.1,134.1868,,64,476.94706185705303
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,8,False,,1,e2e_kv,ok,,1766549037.0981226,25,2.2613,,134.1868,134.1868,2.09666875,,64,64,485.1914000000761,463.6098,290.1596,length,268.1,136.4481,,89,652.2626551780493
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,3,9,False,,2,prefill,ok,,1766549037.5835984,25,2.2637,,134.7773,134.7773,2.1058953125,,0,64,521.9486999994842,471.7121,295.2371,length,268.1,2.2637,,25,11043.866236692142
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,3,10,False,,2,kv_decode,ok,,1766549037.5835984,25,2.2637,,134.7773,134.7773,2.1058953125,,64,64,521.9486999994842,471.7121,295.2371,length,268.1,134.7773,,64,474.8574129322965
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,3,11,False,,2,e2e_kv,ok,,1766549037.5835984,25,2.2637,,134.7773,134.7773,2.1058953125,,64,64,521.9486999994842,471.7121,295.2371,length,268.1,137.041,,89,649.44067833714
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,4,12,False,,3,prefill,ok,,1766549038.1056316,25,2.3691,,128.6114,128.6114,2.009553125,,0,64,494.86570000044594,464.8244,289.7026,length,268.1,2.3691,,25,10552.530496813137
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,4,13,False,,3,kv_decode,ok,,1766549038.1056316,25,2.3691,,128.6114,128.6114,2.009553125,,64,64,494.86570000044594,464.8244,289.7026,length,268.1,128.6114,,64,497.6230722937468
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,4,14,False,,3,e2e_kv,ok,,1766549038.1056316,25,2.3691,,128.6114,128.6114,2.009553125,,64,64,494.86570000044594,464.8244,289.7026,length,268.1,130.9805,,89,679.4904585033651
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,5,15,False,,4,prefill,ok,,1766549038.6005857,25,2.545,,128.0066,128.0066,2.000103125,,0,64,499.85110000034183,463.1472,292.577,length,268.1,2.545,,25,9823.182711198428
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,5,16,False,,4,kv_decode,ok,,1766549038.6005857,25,2.545,,128.0066,128.0066,2.000103125,,64,64,499.85110000034183,463.1472,292.577,length,268.1,128.0066,,64,499.9742200792772
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,5,17,False,,4,e2e_kv,ok,,1766549038.6005857,25,2.545,,128.0066,128.0066,2.000103125,,64,64,499.85110000034183,463.1472,292.577,length,268.1,130.55159999999998,,89,681.7227824094075
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,6,18,True,0,,prefill,ok,,1766549039.1006248,18,10.7113,,147.8234,278.25581176470587,4.347747058823529,,0,64,495.96529999962513,483.6718,297.0091,stop,999.89,10.7113,,18,1680.4682904969518
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,6,19,True,0,,kv_decode,ok,,1766549039.1006248,18,10.7113,,147.8234,278.25581176470587,4.347747058823529,,64,64,495.96529999962513,483.6718,297.0091,stop,999.89,278.25581176470587,,64,230.00418066422503
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,6,20,True,0,,e2e_kv,ok,,1766549039.1006248,18,10.7113,,147.8234,278.25581176470587,4.347747058823529,,64,64,495.96529999962513,483.6718,297.0091,stop,999.89,288.96711176470586,,82,283.7693172044065
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,7,21,False,,0,prefill,ok,,1766549039.596709,18,4.9931,,144.974,272.89223529411765,4.263941176470588,,0,64,479.12709999945946,467.1715,293.1582,stop,999.89,4.9931,,18,3604.9748653141332
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,7,22,False,,0,kv_decode,ok,,1766549039.596709,18,4.9931,,144.974,272.89223529411765,4.263941176470588,,64,64,479.12709999945946,467.1715,293.1582,stop,999.89,272.89223529411765,,64,234.52481134548262
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,7,23,False,,0,e2e_kv,ok,,1766549039.596709,18,4.9931,,144.974,272.89223529411765,4.263941176470588,,64,64,479.12709999945946,467.1715,293.1582,stop,999.89,277.8853352941177,,82,295.0857407182357
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,8,24,False,,1,prefill,ok,,1766549040.0759442,18,4.6836,,147.7839,278.1814588235294,4.346585294117647,,0,64,485.427399999935,464.5429,285.4848,stop,999.89,4.6836,,18,3843.197540353574
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,8,25,False,,1,kv_decode,ok,,1766549040.0759442,18,4.6836,,147.7839,278.1814588235294,4.346585294117647,,64,64,485.427399999935,464.5429,285.4848,stop,999.89,278.1814588235294,,64,230.06565667843387
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,8,26,False,,1,e2e_kv,ok,,1766549040.0759442,18,4.6836,,147.7839,278.1814588235294,4.346585294117647,,64,64,485.427399999935,464.5429,285.4848,stop,999.89,282.8650588235294,,82,289.8908770883477
