scenario,output_dir,agent_a_num_gpu,agent_a_num_ctx,agent_a_temperature,agent_b_num_gpu,agent_b_num_ctx,agent_b_temperature,speedup,efficiency,throughput_delta,ttft_delta_ms,agent_a_url,agent_b_url
baseline_vs_chimera,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\baseline-vs-chimera\gpu60_ctx1024_temp0p8,,,,60.0,1024.0,0.800000011920929,1.8032640079724118,90.16320039862059,12.69865915104468,-118.70692000000001,http://127.0.0.1:11434,http://127.0.0.1:11435
baseline_vs_chimera,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\baseline-vs-chimera\gpu60_ctx512_temp0p8,,,,60.0,512.0,0.800000011920929,1.8335594985503936,91.67797492751967,12.389845229991108,5.729220000000032,http://127.0.0.1:11434,http://127.0.0.1:11435
baseline_vs_chimera,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\baseline-vs-chimera\gpu80_ctx1024_temp0p8,,,,80.0,1024.0,0.800000011920929,1.7863955631495423,89.3197781574771,14.893460318970279,-27.050780000000003,http://127.0.0.1:11434,http://127.0.0.1:11435
baseline_vs_chimera,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\baseline-vs-chimera\gpu80_ctx512_temp0p8,,,,80.0,512.0,0.800000011920929,1.6835697132651313,84.17848566325655,12.607400759359994,-1314.84158,http://127.0.0.1:11434,http://127.0.0.1:11435
baseline_vs_chimera,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase3\baseline-vs-chimera\gpu80_ctx512,,,,80.0,512.0,0.800000011920929,1.6816888732248922,84.08444366124462,0.6196636684295485,1029.7602599999998,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results\hetero_het_g60c512t06__g120c1024t08,60.0,512.0,0.6000000238418579,120.0,1024.0,0.800000011920929,1.5726079377166797,78.63039688583399,-1.0003242236260945,9215.912699999999,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results\hetero_het_g80c512t08__g120c1024t06,80.0,512.0,0.800000011920929,120.0,1024.0,0.6000000238418579,1.3487157872729765,67.43578936364882,-1.4233198190008096,3935.3674,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu120_140_ctx1024_2048,120.0,1024.0,0.800000011920929,140.0,2048.0,0.800000011920929,1.4553034741477544,72.76517370738773,0.1473797086345087,2762.7294200000006,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu120_140_ctx512_1024,120.0,512.0,0.800000011920929,140.0,1024.0,0.800000011920929,1.4103263080992408,70.51631540496206,0.03671945813456432,-3861.3006999999984,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu60_80_ctx1024_2048,60.0,1024.0,0.800000011920929,80.0,2048.0,0.800000011920929,1.5100580241119133,75.50290120559566,-0.9643402820064552,3255.7687399999995,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu60_80_ctx512_1024,60.0,512.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.4192499813164734,70.96249906582366,-0.14531412298922533,-356.8404400000003,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu80_100_ctx1024_2048,80.0,1024.0,0.800000011920929,100.0,2048.0,0.800000011920929,1.3532361971878122,67.66180985939062,1.1909000403347505,-1540.3748600000001,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-hetero\gpu80_100_ctx512_1024,80.0,512.0,0.800000011920929,100.0,1024.0,0.800000011920929,1.470240073032398,73.51200365161989,-0.9569066834356817,-6973.341440000001,http://localhost:11434,http://localhost:11434
