backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,micro,prefill,3,2.4255666666401035,2.3856000000250788,2.690609999899607,2.717721999888454,419.1817572055196,1.0,1.0,0.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,micro,prefill,3,13.56326666670308,13.399200000094424,13.963590000071237,14.013758000069176,74.63132127238589,1.0,1.0,0.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,micro,prefill,3,9.615633333244963,9.597199999916484,10.930639999946834,11.049167999949532,104.19705747600364,1.0,1.0,0.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,micro,prefill,3,10.005066666735729,10.133700000096724,10.70151000012629,10.751982000128919,98.68063984432688,1.0,1.0,0.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,micro,prefill,3,20.443566666623763,21.01859999993394,23.891759999924034,24.147151999923153,47.57690807204776,1.0,1.0,0.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,micro,prefill,3,22.197233333296634,17.954899999949703,30.221269999992728,31.311613999996553,55.695102729773005,1.0,1.0,0.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,micro,prefill,3,18.513933333224486,18.213299999843,19.47662999991735,19.58892599992396,54.904932110524726,1.0,1.0,0.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/tiny-gpt2,hf,0.102714,short,prefill,3,4.098999999920731,4.286399999955393,4.303139999933592,4.304627999931654,2099.6640537732505,9.0,9.0,0.0,,,,0.103,0.102714
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,short,prefill,3,25.025800000018233,24.763500000062777,26.19044999999005,26.317289999983586,363.4381246583554,9.0,9.0,0.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,short,prefill,3,14.631666666673482,13.391799999908471,17.28520000010576,17.631280000123297,672.0530473918004,9.0,9.0,0.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,short,prefill,3,20.765333333353436,20.56059999995341,22.093750000021828,22.23003000002791,437.730416428528,9.0,9.0,0.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,short,prefill,3,20.910933333425422,21.063000000140164,25.710330000060825,26.123426000053772,427.28955988890993,9.0,9.0,0.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,short,prefill,3,23.12003333334663,22.085099999912927,25.53407999994306,25.84065599994574,407.5145686474357,9.0,9.0,0.0,,,,74.825,74.824704
