backend,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,270,99.90843261480728,96.83713350005974,10.753288997157386,89.61643800000729,160.15368399996532,107.60006800005611,118.86485909994917,153.46923576995553
transformers-gpu-compile,270,109.03622815184993,106.1492355000837,10.234356284919206,95.59268200007408,174.7558619999836,117.6107542001432,128.2127947499816,155.42731950992675
