backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,1.86354927794726,0.3493740178939426,0.6054797774660435,0.1724579430913898,1.000893222056133,0.7094119133655813,2.0823746343313383,1000,1000,8
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,6,True,1.7632978988652266,0.3645714571622931,0.6186194389443254,0.1746884622300648,1.071909573969631,0.5107585656177918,1.993352980487165,1000,1000,8
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,6,True,1.2301026097020262,0.2497138332398747,0.4444076343976315,0.1024602960857909,0.9630604669346264,0.0133612587315522,1.4073026657846122,1000,1000,8
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.2777869920633007,-0.3936318565772942,0.5868232323998779,-0.6036845307386715,0.4011230103331937,0.8993285382346824,2.525316570868799,1000,1000,8
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.243074388963413,-0.4117723888584171,0.61090490110124,-0.6146311088400348,0.406753074176709,0.8330158428848338,2.4833342687444078,1000,1000,8
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,6,True,1.311957746708994,-0.345764567222394,0.5337600463857792,-0.5613114223845832,0.3777180014857216,0.0475806271933122,1.580769766358686,1000,1000,8
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,-0.4879288711358433,0.674813807612621,0.9516258085937792,0.2448857873967911,1.343492362294651,-3.249127573744579,1.277477982820613,1000,1000,8
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,-0.5964704647403662,0.6851717208004459,0.9584108741883326,0.2272236625293741,1.312468620201585,-3.186790391480877,1.24163302186015,1000,1000,8
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.2167094035945814,0.6456224975252557,0.913148298948154,0.0826830859126432,1.5207208054500332,-4.830284709065538,0.8697258154056167,1000,1000,8
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.3465707555837234,0.3636244263949499,0.7901433526857791,0.2621927553382419,0.8100204213533051,1.5716344047278428,2.4724302877152087,1000,1000,32
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.3203728357442244,0.3679208806769414,0.7956281221194033,0.2668938538923519,0.8107458981647375,1.5525053457532014,2.4451608004557435,1000,1000,32
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,6,True,1.0895394304922972,0.3055401606653799,0.6616737805964097,0.1586454390789588,0.81454784665564,0.20578991796126,1.3743805147762558,1000,1000,32
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.221712529975731,-0.1199481865848651,0.0993974715853351,-0.3461230036536815,1.0364590516373398,0.3049875757833318,2.461641305109643,1000,1000,32
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.2046172433921125,-0.1203793576102277,0.0973351777109139,-0.349678669093332,1.0615047854163695,0.2466871015205392,2.447422869841307,1000,1000,32
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,6,True,0.7976456968275163,-0.1061707762870049,0.1493229031419986,-0.2603433969944367,0.5315920979194968,-0.2808422317638977,0.9703096806270842,1000,1000,32
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.1459077897177269,0.6759982210012115,0.928484656540854,0.3303960746578555,1.5005491458056923,-3.25894036619121,1.6118257265941829,1000,1000,32
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.1226683579643039,0.6778836807950703,0.9299790617461656,0.3285701569825938,1.495392107422266,-3.25309895380198,1.6036068526790528,1000,1000,32
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.1574489237648269,0.6384095205624264,0.8853265046494331,0.0928794766738626,1.648217570545771,-5.327286071934997,0.8966274720806496,1000,1000,32
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.6644482050417126,0.3353774627813377,0.8740878516983486,0.2518251091629823,0.6080976760925346,2.17290144341692,2.76086045163097,1000,1000,64
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.6514534663991096,0.3374445878908177,0.8762309996633669,0.2544537419959126,0.6110146306796259,2.158818317985315,2.7472682670880384,1000,1000,64
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,6,True,1.101546389285568,0.266655350703681,0.7870286102829023,0.1653978971481657,0.6551560256963515,0.4091798372303979,1.222450822106414,1000,1000,64
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.7724397099638405,-0.2382065826434832,0.3144862831199611,-0.4677159088691459,0.5735480273851395,1.4061079386806792,3.02505735670244,1000,1000,64
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.767566113631242,-0.2411593618961686,0.3204381208491554,-0.4703490394191982,0.5757078669154135,1.3930735882658538,3.020082485178212,1000,1000,64
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,6,True,1.0468407013681884,-0.2178858877258002,0.3009707713492863,-0.4337467728510329,0.6396790312291624,-0.4151741632330976,1.2812803718246242,1000,1000,64
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.4113059878629216,0.691113731810471,0.9189523613595628,0.3696658317556889,1.5931684604224137,-3.31358144704184,1.7845696802006588,1000,1000,64
