backend,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu-compile,273,389.22390476192703,328.69190000019444,117.80764420369478,277.40629999971134,681.7635000006703,579.6500600004947,594.6930999994947,631.1578399995769
transformers-gpu,273,404.05491794879396,322.67940000019735,223.937737869769,276.7790999969293,3325.808899999174,595.92030000058,612.5437599999714,931.475099999075
