backend,quantization,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp16,91,385.6020989012025,324.1030999997747,117.45644461781342,282.65509999982896,626.1637000025075,587.3883000003843,599.5847500007585,613.7774500002705
transformers-gpu-compile,fp16,91,386.9567824174857,331.8048000001,111.32449163370147,281.3851999999315,622.3761999990529,572.8928000007727,586.9706500006941,613.6228000004849
transformers-gpu-compile,fp32,91,385.4271912088814,324.6294000000489,117.39190781525348,277.40629999971134,610.180700001365,585.3788000022178,591.6886000004524,608.0021600015243
transformers-gpu,fp32,91,450.2525252748935,333.4376999991946,343.2652518993247,281.79870000167284,3325.808899999174,612.7575999998953,645.3950500008432,1288.2934099999927
transformers-gpu,int8,91,376.31012967028585,317.0896999999968,129.0392789860005,276.7790999969293,888.1989999990765,578.6429999989195,596.8736000004355,705.6285999991803
transformers-gpu-compile,int8,91,395.28774065941406,329.98010000119393,125.35303773411974,279.7484999973676,681.7635000006703,583.3855999990192,604.0401499994914,669.0176999994945
