backend,n_total_samples,mean_ms,median_ms,p99_ms,max_ms,n_excl_first_samples,mean_excl_first_ms,median_excl_first_ms,p99_excl_first_ms,max_excl_first_ms,frac_max_at_first_sample_per_file,frac_first_sample_over_2x_rest_median_per_file,frac_first_sample_over_3x_rest_median_per_file
transformers-gpu,273,404.05491794879396,322.67940000019735,931.475099999075,3325.808899999174,252,386.7455539683154,322.3878500002684,678.2153930002643,888.1989999990765,0.38095238095238093,0.14285714285714285,0.14285714285714285
transformers-gpu-compile,273,389.22390476192703,328.69190000019444,631.1578399995769,681.7635000006703,252,388.2852095238059,326.65929999984655,637.7440699999719,681.7635000006703,0.047619047619047616,0.0,0.0
