scenario,backend,files,max_ms,frac_max_at_first_sample,mean_ms,mean_excl_first_ms
dual_medium,transformers-gpu,3,1061.902800000098,0.3333333333333333,322.17068333340563,304.4149282051456
dual_medium,transformers-gpu-compile,3,522.3346000020683,0.3333333333333333,301.80783809529595,295.4877128205016
dual_short,transformers-gpu,3,1042.7564999990864,0.3333333333333333,330.3350952382538,314.16010000015007
dual_short,transformers-gpu-compile,3,393.28800000293995,0.0,294.58396904772684,295.2159538462859
single_long,transformers-gpu,3,701.0381000000052,0.0,381.58440714289014,380.59141025643424
single_long,transformers-gpu-compile,3,681.7635000006703,0.0,408.7461952381307,414.0183641026315
single_medium,transformers-gpu,3,441.36489999982587,0.6666666666666666,318.0668023808591,314.8267564101843
single_medium,transformers-gpu-compile,3,551.1764000002586,0.0,337.93262619041167,337.63924358964476
single_micro,transformers-gpu,3,3325.808899999174,0.6666666666666666,662.6451880952335,598.3215333333366
single_micro,transformers-gpu-compile,3,622.3761999990529,0.0,574.1887071429855,575.7827230770021
single_short,transformers-gpu,3,413.0604999991192,0.3333333333333333,327.6636619048943,325.6949564103986
single_short,transformers-gpu-compile,3,518.573399998786,0.0,327.6141833334155,327.7031974359535
stress_single,transformers-gpu,3,612.7575999998953,0.3333333333333333,567.7822571432487,565.4167722225085
stress_single,transformers-gpu-compile,3,612.650200000644,0.0,570.1637238091193,569.9906777772412
