timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:00:10.645, 134.08 W, 100 %, 9725 MiB
2025/11/27 17:00:10.814, 133.77 W, 100 %, 9725 MiB
2025/11/27 17:00:10.982, 133.77 W, 100 %, 9725 MiB
2025/11/27 17:00:11.152, 133.77 W, 100 %, 9725 MiB
2025/11/27 17:00:11.322, 134.40 W, 100 %, 9725 MiB
2025/11/27 17:00:11.491, 134.40 W, 100 %, 9725 MiB
2025/11/27 17:00:11.660, 134.40 W, 100 %, 9725 MiB
2025/11/27 17:00:11.830, 134.91 W, 100 %, 9725 MiB
2025/11/27 17:00:11.998, 134.91 W, 100 %, 9725 MiB
2025/11/27 17:00:12.185, 134.91 W, 100 %, 9725 MiB
2025/11/27 17:00:12.354, 135.05 W, 100 %, 9725 MiB
2025/11/27 17:00:12.522, 135.05 W, 100 %, 9725 MiB
2025/11/27 17:00:12.691, 135.05 W, 100 %, 9725 MiB
2025/11/27 17:00:12.860, 134.10 W, 100 %, 9725 MiB
2025/11/27 17:00:13.028, 134.10 W, 100 %, 9725 MiB
2025/11/27 17:00:13.197, 134.10 W, 100 %, 9725 MiB
2025/11/27 17:00:13.367, 133.20 W, 100 %, 9725 MiB
2025/11/27 17:00:13.536, 133.20 W, 100 %, 9725 MiB
2025/11/27 17:00:13.705, 133.20 W, 100 %, 9725 MiB
2025/11/27 17:00:13.873, 133.45 W, 100 %, 9725 MiB
2025/11/27 17:00:14.042, 133.45 W, 100 %, 9725 MiB
2025/11/27 17:00:14.210, 133.45 W, 100 %, 9725 MiB
2025/11/27 17:00:14.380, 134.14 W, 100 %, 9725 MiB
2025/11/27 17:00:14.549, 134.14 W, 100 %, 9725 MiB
2025/11/27 17:00:14.735, 134.14 W, 100 %, 9725 MiB
2025/11/27 17:00:14.905, 134.52 W, 100 %, 9725 MiB
2025/11/27 17:00:15.074, 134.52 W, 100 %, 9725 MiB
2025/11/27 17:00:15.245, 134.52 W, 100 %, 9725 MiB
2025/11/27 17:00:15.412, 133.95 W, 100 %, 9725 MiB
2025/11/27 17:00:15.582, 133.95 W, 100 %, 9725 MiB
2025/11/27 17:00:15.737, 133.95 W, 100 %, 9725 MiB
2025/11/27 17:00:15.908, 133.54 W, 100 %, 9725 MiB
2025/11/27 17:00:16.076, 133.54 W, 100 %, 9725 MiB
2025/11/27 17:00:16.247, 133.54 W, 100 %, 9725 MiB
2025/11/27 17:00:16.416, 134.25 W, 100 %, 9725 MiB
2025/11/27 17:00:16.571, 134.25 W, 100 %, 9725 MiB
2025/11/27 17:00:16.739, 134.25 W, 100 %, 9725 MiB
2025/11/27 17:00:16.894, 135.08 W, 100 %, 9725 MiB
2025/11/27 17:00:17.063, 135.08 W, 100 %, 9725 MiB
2025/11/27 17:00:17.232, 135.08 W, 100 %, 9725 MiB
2025/11/27 17:00:17.402, 134.69 W, 99 %, 9725 MiB
2025/11/27 17:00:17.572, 134.69 W, 99 %, 9725 MiB
2025/11/27 17:00:17.742, 134.69 W, 99 %, 9725 MiB
2025/11/27 17:00:17.911, 133.37 W, 99 %, 9725 MiB
2025/11/27 17:00:18.080, 133.37 W, 99 %, 9725 MiB
2025/11/27 17:00:18.249, 133.37 W, 99 %, 9725 MiB
2025/11/27 17:00:18.419, 132.80 W, 100 %, 9725 MiB
2025/11/27 17:00:18.589, 132.80 W, 100 %, 9725 MiB
2025/11/27 17:00:18.759, 132.80 W, 100 %, 9725 MiB
2025/11/27 17:00:18.928, 133.27 W, 100 %, 9725 MiB
2025/11/27 17:00:19.097, 133.27 W, 100 %, 9725 MiB
2025/11/27 17:00:19.266, 133.27 W, 100 %, 9725 MiB
2025/11/27 17:00:19.435, 133.16 W, 100 %, 9725 MiB
2025/11/27 17:00:19.604, 133.16 W, 100 %, 9725 MiB
2025/11/27 17:00:19.775, 133.34 W, 100 %, 9725 MiB
2025/11/27 17:00:19.960, 133.34 W, 100 %, 9725 MiB
2025/11/27 17:00:20.132, 133.34 W, 100 %, 9725 MiB
