backend,backend_kind,mode,is_warmup,n,rel_gap_median,rel_gap_p95,abs_gap_ms_median,abs_gap_ms_p95
hf_gpu_fp16,hf,e2e_kv,False,63,0.0003083264730693869,0.0006986699967294339,0.11615574029565323,0.17709708398760993
hf_gpu_fp16,hf,e2e_kv,True,21,0.0004369582739207207,0.0014819741482118543,0.16248445339442696,0.8197687893552938
hf_gpu_fp16,hf,kv_decode,False,63,0.0001276814106455854,0.0003583101113660958,0.04757529353082646,0.09359287975096604
hf_gpu_fp16,hf,kv_decode,True,21,0.00020399066162609807,0.0008978176704242791,0.06880859470402356,0.19650319876382127
hf_gpu_fp16,hf,prefill,False,63,0.009443707835747103,0.019870728322810262,0.0619476933934493,0.10772305938153294
hf_gpu_fp16,hf,prefill,True,21,0.006304069018754131,0.016953345048212963,0.10460821101150763,0.14433153058052994
