backend,backend_kind,batch_size,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,tokens_per_s_compute_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,1,models/tiny-gpt2,hf,0.102714,e2e_kv,3,169.7577600037449,167.35200000039185,428.29608959513007,428.29608959513007,,,0.103,0.102714
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,e2e_kv,3,1063.465981478241,1132.2027999995044,68.36756986525214,68.36756986525214,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,e2e_kv,3,799.7262231755504,834.6355000012409,90.91434378546376,90.91434378546376,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,e2e_kv,3,818.7304657049798,822.28749999922,88.80405436657053,88.80405436657053,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,e2e_kv,3,1289.5404952288857,1255.331299998943,56.38177711908736,56.38177711908736,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,e2e_kv,3,1634.7391947089984,1958.0278000012183,44.47595373216409,44.47595373216409,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,e2e_kv,3,1402.2184962840784,1298.5021999975288,51.85110949592181,51.85110949592181,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/tiny-gpt2,hf,0.102714,kv_decode,3,166.3217702420137,163.86169999896083,384.7962891861596,384.79628918616027,,,0.103,0.102714
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,kv_decode,3,1042.4397208736884,1108.325600000171,61.394437221137686,61.394437221137686,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,kv_decode,3,783.6695071526733,822.2283000013704,81.66707957354737,81.66707957354737,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,kv_decode,3,799.8226829025062,798.7739000000147,80.01773564078977,80.01773564078977,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,kv_decode,3,1267.6944590992653,1229.0763999990304,50.48535121426176,50.48535121426176,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,kv_decode,3,1600.770241926175,1917.779999999766,39.98075321726998,39.98075321726998,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,kv_decode,3,1374.2159950897262,1280.04829999918,46.57200922466434,46.57200922466434,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/tiny-gpt2,hf,0.102714,prefill,3,3.494093551947981,4.123700000491226,1530.7206752542577,1530.7206752542577,,,0.103,0.102714
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,prefill,3,20.71280188925243,23.877199999333243,258.2210398108723,258.2210398108723,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,prefill,3,15.752400882068509,15.96120000067458,339.53435297140766,339.53435297140766,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,prefill,3,18.08279051875546,21.639200000208803,295.7774263707759,295.7774263707759,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,prefill,3,25.34810347307382,28.996600000027684,211.00123908365836,211.00123908365836,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,prefill,3,27.79925185016237,25.330100001156097,192.39658930634596,192.39658930634596,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,prefill,3,26.976926538303285,23.431800000253133,198.26132653196444,198.26132653196444,,,96.088,96.08832
hf_gpu_fp16,hf,1,models/tiny-gpt2,hf,0.102714,e2e_kv,3,228.86904538931287,234.3125000006694,317.6776687487667,317.6776687487667,630.53759765625,,0.103,0.102714
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,e2e_kv,3,639.8502714041914,748.5342999989371,113.63062272127108,113.63062272127108,539.29345703125,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,e2e_kv,3,176.38823136775227,217.4096999988251,412.1963479323427,412.1963479323427,538.54931640625,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,e2e_kv,3,393.0741034997174,487.0275999983278,184.9691550287665,184.9691550287665,632.16455078125,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,e2e_kv,3,337.43980185362733,271.1515999999392,215.46534934124563,215.46534934124563,631.55810546875,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,e2e_kv,3,343.01206864143114,334.38289999867266,211.96509229544512,211.96509229544512,632.3837890625,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,e2e_kv,3,417.9170373134419,522.0028000003367,173.97372754990585,173.97372754990585,489.1572265625,,96.088,96.08832
hf_gpu_fp16,hf,1,models/tiny-gpt2,hf,0.102714,kv_decode,3,224.9450250119779,229.38350000003996,284.51396067368967,284.51396067368967,630.53759765625,,0.103,0.102714
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,kv_decode,3,626.0909710358112,736.7591999991419,102.22156677026928,102.22156677026928,539.29345703125,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,kv_decode,3,173.12828996093532,213.47769999920277,369.6680653083386,369.6680653083386,538.54931640625,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,kv_decode,3,385.3283871150514,478.855499999554,166.09209739040298,166.09209739040298,632.16455078125,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,kv_decode,3,331.40289257056793,266.0378000000492,193.11841095765948,193.11841095765965,631.55810546875,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,kv_decode,3,336.58531007230954,328.64619999963907,190.1449590484229,190.1449590484229,632.3837890625,,74.825,74.824704
