backend,backend_kind,batch_size,mode,n_models,beta_log_params,gamma_log_layers,r2,beta_ci_low,beta_ci_high,gamma_ci_low,gamma_ci_high,r2_ci_low,r2_ci_high,boot_n_used,boot_n_requested
hf_cpu_fp32,hf,1,e2e_kv,7,0.23106841180781001,0.4221055190063123,0.9290444156378335,0.028646318641644544,1.0541140373310565,-0.8714181640745229,1.2080751142212651,0.23293084425795352,1.0,1000,1000
hf_cpu_fp32,hf,1,kv_decode,7,0.23094271425962598,0.42300828733693946,0.9286703810691914,-0.028891584195309416,0.8290452326734898,-0.8296017438177165,1.448399400945041,0.25964002716949325,1.0,1000,1000
hf_cpu_fp32,hf,1,prefill,7,0.21963367376243992,0.4298339444576964,0.965202185889193,0.07180606750545758,0.5846835666358564,-0.4104398369913157,0.8930780618217768,0.40018038873342404,1.0,1000,1000
hf_gpu_fp16,hf,1,e2e_kv,7,-0.06158905193761138,0.7335056231353041,0.8737893929932606,-0.17323619109011149,0.34698963168104874,-0.3422924100063579,1.0868415606185708,0.6885438179121275,1.0,1000,1000
hf_gpu_fp16,hf,1,kv_decode,7,-0.061427386361239344,0.7316064633883123,0.873647014129742,-0.32195828772072194,0.4026954174993441,-0.3423642663616126,1.2048829233818703,0.6932183538083407,1.0,1000,1000
hf_gpu_fp16,hf,1,prefill,7,-0.07690163230357955,0.7783677082791777,0.8446113593581952,-0.2567358716005394,0.42900845641982505,-0.710548597838413,1.1398085825317792,0.5648386134999382,1.0,1000,1000
