backend,backend_kind,batch_size,mode,aggregation,fit,n_models,ok,a_ms,b_ms_per_million_params,r2,overhead_fraction_at_min_model,overhead_fraction_at_max_model,b,s
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,7,True,569.5966057119057,10.718287560192545,0.611852311732178,0.9980709252408639,0.3561094185727307,,
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,7,True,6.367061325898788e-11,,0.7005348048167359,2.2132564823418264e-13,4.50003309714546e-14,488.7112873363037,0.23285307968090826
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,7,True,558.3442833370241,10.501711864520406,0.6108213060645297,0.9980718116399114,0.35621501341948103,,
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,7,True,6.37878324875268e-11,,0.6995735257397708,2.261633000388006e-13,4.6003758018340106e-14,479.0694906204693,0.23279006647840483
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,7,True,11.718323378774697,0.1885628031634509,0.6177694133283353,0.9983499276754252,0.39274460854457144,,
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,7,True,3.657417917788754e-11,,0.770027635906888,5.831518997518085e-12,1.371400131787516e-12,10.151117261323268,0.21158156915715515
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,7,True,358.2555180175185,0.09660872541465342,0.0005214706218592546,0.9999723024677117,0.9747428625246439,,
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,7,True,8.491730776872985e-08,,0.02172399649429091,2.6523168110469414e-10,2.2441167325509548e-10,338.4666238386406,0.024429132777949027
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,7,True,351.0042362127138,0.10336839976079792,0.0006252497111571831,0.9999697523289847,0.9724813381650654,,
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,7,True,1.3775922576417659e-08,,0.022002944028039484,4.388926923994763e-11,3.71139597291675e-11,331.88496734404987,0.02451028401221751
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,7,True,7.153245516836996,-0.0076513952739917035,0.007294526181140681,1.0001098790425769,1.114553695324296,,
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,7,True,9.137993902554911e-10,,0.005842361924950579,1.4345609562613924e-10,1.305679261533355e-10,6.572523662151743,0.013760328826743088
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,5,True,-69.27896757918914,0.13591782710417136,0.9520659564088453,,-0.024997790688725773,,
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,5,True,183.3847322030258,,0.9982100658753718,0.9897478010002607,0.06185449554590054,0.00016421734847236032,1.6732866420626975
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P,5,True,-67.84466038100004,0.13356260426764036,0.9522364434372254,,-0.024909794904795127,,
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,5,True,180.041503477964,,0.9982044218330413,0.9896587156763063,0.06180073335081446,0.00016427877144133729,1.6714926224535476
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P,5,True,-1.4067095645870709,0.0023248380383365463,0.942707265614918,,-0.029814282497230934,,
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P^s,5,True,3.2740075772962105,,0.9985407257750524,0.9935776079940598,0.06440437299267297,1.0556133090576425e-06,1.7716408526265122
