backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
hf_cpu_fp32,models/gpt2-100m,medium,e2e_kv,1,2752.940699998362,3,1663.2240999988426,1.655183267245994,1089.7165999995195
hf_cpu_fp32,models/gpt2-25m,medium,e2e_kv,1,828.8061000002926,3,872.0386999993934,0.9504235305163282,-43.232599999100785
hf_cpu_fp32,models/gpt2-45m,medium,e2e_kv,1,1114.987500001007,3,822.28749999922,1.3559582262919776,292.700000001787
hf_cpu_fp32,models/gpt2-50m,medium,e2e_kv,1,1332.386600000973,3,1255.331299998943,1.0613824414336637,77.05530000202998
hf_cpu_fp32,models/gpt2-5m,medium,e2e_kv,1,1095.813800000542,3,1132.2027999995044,0.9678599982273686,-36.38899999896239
hf_cpu_fp32,models/gpt2-75m,medium,e2e_kv,1,1654.3910000000324,3,1070.3647000009369,1.5456329977983994,584.0262999990955
hf_cpu_fp32,models/tiny-gpt2,medium,e2e_kv,1,171.74699999850418,3,167.35200000039185,1.0262620106010207,4.394999998112326
hf_cpu_fp32,models/gpt2-100m,micro,e2e_kv,1,1301.724799999647,3,1298.5021999975288,1.0024817824737797,3.22260000211827
hf_cpu_fp32,models/gpt2-25m,micro,e2e_kv,1,1007.7216000008776,3,834.6355000012409,1.2073792691532763,173.08609999963676
hf_cpu_fp32,models/gpt2-45m,micro,e2e_kv,1,695.6552000010561,3,674.2119999998977,1.031804832902947,21.443200001158402
hf_cpu_fp32,models/gpt2-50m,micro,e2e_kv,1,1636.346800001775,3,1715.6181000009385,0.9537943205430625,-79.2712999991636
hf_cpu_fp32,models/gpt2-5m,micro,e2e_kv,1,1044.635799999014,3,910.5997999995452,1.147195288204034,134.0359999994687
hf_cpu_fp32,models/gpt2-75m,micro,e2e_kv,1,1986.7736999985937,3,2084.4658999994863,0.9531332222796657,-97.69220000089263
hf_cpu_fp32,models/tiny-gpt2,micro,e2e_kv,1,198.62239999929443,3,183.0179999997199,1.0852615589701473,15.604399999574525
hf_cpu_fp32,models/gpt2-100m,short,e2e_kv,1,1276.3524999991205,3,1276.5963999991072,0.999808945098085,-0.24389999998675194
hf_cpu_fp32,models/gpt2-25m,short,e2e_kv,1,744.7178999991593,3,702.7347000021109,1.0597426027161065,41.98319999704836
hf_cpu_fp32,models/gpt2-45m,short,e2e_kv,1,1502.0299999996496,3,989.9258999994344,1.5173155889754049,512.1041000002152
hf_cpu_fp32,models/gpt2-50m,short,e2e_kv,1,1350.6807000012486,3,995.6941999989796,1.3565216107542184,354.98650000226905
hf_cpu_fp32,models/gpt2-5m,short,e2e_kv,1,1310.753099998692,3,1166.5921000003436,1.1235744696010765,144.16099999834842
hf_cpu_fp32,models/gpt2-75m,short,e2e_kv,1,2102.722599998742,3,1958.0278000012183,1.0738982357642899,144.6947999975239
hf_cpu_fp32,models/tiny-gpt2,short,e2e_kv,1,179.23079999854963,3,159.72180000062508,1.1221436272183771,19.508999997924548
hf_cpu_fp32,models/gpt2-100m,medium,kv_decode,1,1965.0101999995968,3,1617.8211999995256,1.2146028250836205,347.18900000007125
hf_cpu_fp32,models/gpt2-25m,medium,kv_decode,1,809.7453999998834,3,852.3007999992842,0.9500699752957682,-42.555399999400834
hf_cpu_fp32,models/gpt2-45m,medium,kv_decode,1,1081.3175000002957,3,798.7739000000147,1.3537216226021855,282.543600000281
hf_cpu_fp32,models/gpt2-50m,medium,kv_decode,1,1295.294500001546,3,1229.0763999990304,1.0538763090744951,66.21810000251571
hf_cpu_fp32,models/gpt2-5m,medium,kv_decode,1,1071.8414000002667,3,1108.325600000171,0.9670816951265054,-36.48419999990438
hf_cpu_fp32,models/gpt2-75m,medium,kv_decode,1,1132.9650999996377,3,1045.9480000008623,1.0831944800302726,87.0170999987754
hf_cpu_fp32,models/tiny-gpt2,medium,kv_decode,1,162.7936999993835,3,163.86169999896083,0.993482308559083,-1.0679999995773244
hf_cpu_fp32,models/gpt2-100m,micro,kv_decode,1,1282.9463999987638,3,1280.04829999918,1.0022640551919686,2.898099999583792
hf_cpu_fp32,models/gpt2-25m,micro,kv_decode,1,880.1756000011665,3,822.2283000013704,1.0704759249951619,57.94729999979609
hf_cpu_fp32,models/gpt2-45m,micro,kv_decode,1,677.6397000012366,3,662.5911999999516,1.022711590496955,15.048500001284992
hf_cpu_fp32,models/gpt2-50m,micro,kv_decode,1,1600.929600001109,3,1695.6176000003325,0.9441572203548696,-94.6879999992234
hf_cpu_fp32,models/gpt2-5m,micro,kv_decode,1,1024.6614000006955,3,897.3026000003301,1.1419351732629757,127.35880000036536
hf_cpu_fp32,models/gpt2-75m,micro,kv_decode,1,1948.037199999817,3,2044.9284999995143,0.9526187345915906,-96.89129999969737
hf_cpu_fp32,models/tiny-gpt2,micro,kv_decode,1,177.95189999924332,3,180.45359999996435,0.9861366024245484,-2.50170000072103
hf_cpu_fp32,models/gpt2-100m,short,kv_decode,1,1233.1462999991345,3,1253.164599998854,0.9840258015589189,-20.018299999719602
hf_cpu_fp32,models/gpt2-25m,short,kv_decode,1,707.3916999997891,3,686.7735000014363,1.0300218339791936,20.618199998352793
hf_cpu_fp32,models/gpt2-45m,short,kv_decode,1,1155.8882999997877,3,966.7442999998456,1.1956504941378732,189.14399999994214
hf_cpu_fp32,models/gpt2-50m,short,kv_decode,1,1013.1992000005994,3,977.5454999999056,1.0364726756971385,35.65370000069379
hf_cpu_fp32,models/gpt2-5m,short,kv_decode,1,1277.4377999994613,3,1139.059900000575,1.1214843047313108,138.37789999888628
