backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,167.62033333331297,162.82730000011725,177.9170599997542,179.25837199972193,153.53690689449496,25.0,17.0,8.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,133.76033333315718,134.38639999958468,137.39825000011479,137.6659700001619,186.0307293005636,25.0,17.0,8.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,171.32346666661155,180.2520999999615,185.7213999999658,186.20755999996618,138.69463934126338,25.0,17.0,8.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,283.0608000002333,282.6700999999048,285.47522000035315,285.724564000393,88.44232198597737,25.0,17.0,8.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,390.93840000017127,384.0221000000384,403.1547500003853,404.85543000041616,65.10042000186318,25.0,17.0,8.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,472.96513333321855,475.5666000000929,478.28477999951247,478.5263959994609,52.56887258271527,25.0,17.0,8.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,170.5789333333693,170.39939999995113,178.88397000033365,179.63815400036765,99.76560950334846,17.0,9.0,8.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,144.80733333372578,143.19670000077167,150.32704000018384,150.9608480001316,118.7178196139184,17.0,9.0,8.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,262.5205666666564,270.01749999999447,270.2716599998439,270.2942519998305,62.958882294667376,17.0,9.0,8.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,321.9402333332558,322.0219999998335,322.10633000022426,322.113826000259,52.79142418843679,17.0,9.0,8.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,355.69029999987833,358.88089999980366,362.6941999998962,363.03315999990446,47.36947550011522,17.0,9.0,8.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,462.9499333335237,486.3662000002478,499.88564000000224,501.0873679999804,34.95308678931912,17.0,9.0,8.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,kv_decode,3,137.2979000000972,135.44020000017554,147.07585000001018,148.11012999999548,59.06665820036911,8.0,17.0,8.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,kv_decode,3,112.6853333331989,113.16999999962718,115.70952999995825,115.93526599998768,70.69011222078603,8.0,17.0,8.0,,,,25.016,25.016064
