backend,backend_kind,batch_size,mode,aggregation,fit,n_models,ok,a_ms,b_ms_per_million_params,r2,overhead_fraction_at_min_model,overhead_fraction_at_max_model,b,s
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,399.9071216948113,7.8552884894587685,0.786223646204987,0.9099717667788948,0.3463273099052545,,
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,520.4452250186663,,0.9103047680408299,0.996113809542163,0.41323857241016043,0.08003768741302492,1.999999999999002
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,391.12998593274415,7.707014633224415,0.7871545753443037,0.9097145020670563,0.3456176461529999,,
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,509.33265200839895,,0.9117982725230195,0.9961031293460185,0.41257067347043147,0.07854482713391192,1.9999999999996991
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,8.68881767052848,0.15984895490637854,0.7694675808352343,0.9151969468722438,0.36130490810816374,,
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,11.209693458267543,,0.8689090360207145,0.9963730823445582,0.4301383348819495,0.0016084731996847625,1.9999999999999998
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,283.90879560672767,-0.5838777526888438,0.041092872416826576,1.0104667759370232,1.2462801140810253,,
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,254.5881727789143,,-7.416289804496046e-14,0.998591770792152,0.9985917707920731,0.3590240890774584,1.9036416728371373e-11
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,279.08873684539134,-0.5824797603586177,0.04226639703494095,1.010623700444652,1.2508501857629042,,
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,249.87249682493638,,-6.23945339839338e-14,0.9987050786505004,0.998705078650434,0.32398476557216416,1.7388146134753648e-11
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,4.936230473305037,-0.004140910324483947,0.007915931509039464,1.0042431372286096,1.0876737635514406,,
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,4.73082344149627,,3.3306690738754696e-16,0.9999981135798891,0.9999981135798891,8.924337315935036e-06,2.187269212791658e-12
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,3,True,-113.97476952172957,0.15257466240423834,0.9709509675813774,,-0.03706694652287536,,
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,3,True,126.7409135594156,,1.0,0.9781074323998484,0.0397737201388509,0.0003630519011501821,1.6031229114516312
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P,3,True,-111.84603209702821,0.14997724199877033,0.9710609655077039,,-0.037002294007572774,,
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,3,True,124.36305874506039,,1.0,0.9779164401981131,0.03970373995355602,0.0003626846008762179,1.601505051048237
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P,3,True,-2.2353619303270005,0.002603262083753242,0.9651176921530549,,-0.042845338204540645,,
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P^s,3,True,2.2297267126254945,,1.0,0.9853389769703185,0.04108745199265329,2.6256381484692264e-06,1.6890832096629353
