backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,3532.616566417398,3523.1505018752637,,,21.700886666318787,21.75323333358392,21.537079999325215,21.573299998635775,0.7288033528883913,20.377249999000924,22.333949998937896,21.48864999981015,21.91225000024133,20.632151114273505,22.442008884376925,5
onnxruntime-cpu,batch_short,5,5,0,0.0,2897.175141675299,2909.664949568267,,,15.32160000060685,15.199766667744067,15.21984000064549,15.124800000194227,0.6762032136828872,14.488150001852773,16.07700000022305,14.680500000395114,15.728750000562286,14.38022281474576,16.05945718654522,5
onnxruntime-cpu,single_long,5,5,0,0.0,2154.7951139949014,2204.1811698223732,,,12.948133333217509,13.008766666947244,12.562859999889042,12.249449999217177,0.5964323171207432,11.986150000666385,13.449399999444722,12.243600000147126,12.885699999969802,11.822291464354963,13.303428535423121,5
onnxruntime-cpu,single_medium,5,5,0,0.0,1611.0050370292306,1614.5248280006142,,,12.083106666735452,12.113299999327864,11.821170000257553,11.803600000348524,0.46212236622694086,11.256400001002476,12.457599999834201,11.54070000120555,12.047549998897011,11.247369295348824,12.394970705166282,5
onnxruntime-cpu,single_micro,5,5,0,0.0,835.1381963347252,840.8282346652472,,,10.552086667303229,9.940900000704763,9.587710000414518,9.51445000100648,0.31323457153365175,9.165249999568914,9.913399999277317,9.462850001000334,9.882600001219544,9.1987779099484,9.976642090880635,5
onnxruntime-cpu,single_short,5,5,0,0.0,1080.712211128246,1083.1458277930146,,,10.363313333073167,10.489766665462716,10.19555999955628,10.156499998629442,0.3718866309332754,9.627150000596885,10.550599998168764,10.133800000403426,10.509749999982887,9.733801758513142,10.65731824059942,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,8820.363123970901,8847.249873563138,,,9.075700000297122,8.834700000685794,8.626860000003944,8.591249999881256,0.3272939094905656,8.198800000172923,8.975650000138558,8.443749999059946,8.924850000767037,8.220470935758147,9.033249064249741,5
onnxruntime-gpu,batch_short,5,5,0,0.0,9768.017579900577,9988.45346352813,,,5.9360400002333344,5.931300000762955,4.590289999396191,4.405249999763328,0.7507297462636587,4.075949998878059,5.892999999559834,4.092999999556923,4.484249999222811,3.6581359010799575,5.522444097712425,5
onnxruntime-gpu,single_long,5,5,0,0.0,6484.661191392046,7223.1498692275045,,,6.242279999666303,6.25429999975798,4.5956899997690925,3.739599998880294,1.9561165323048544,3.572600000552484,8.08465000045544,3.6213500006851973,3.9602499982720474,2.16685052531496,7.024529474223225,5
onnxruntime-gpu,single_medium,5,5,0,0.0,3504.312863869195,3239.656602169377,,,7.260059999922912,7.783933334091368,5.872600000657258,5.965400001514354,1.400454467251647,3.7093999999342486,7.60190000073635,5.81034999959229,6.275950001509045,4.133706107547252,7.611493893767263,5
onnxruntime-gpu,single_micro,5,5,0,0.0,457.49579838261786,500.1451166418277,,,46.39989999971779,25.82540000003064,19.4042700000864,16.872100000909995,6.5087747835236955,13.005500000872416,27.080649999334128,14.446449999013566,25.616650000301888,11.322558678968512,27.485981321204285,5
onnxruntime-gpu,single_short,5,5,0,0.0,838.7032749596422,833.9833517805766,,,13.50977333301368,13.376666667075673,13.136280000253464,13.192099999287166,0.4303229204029783,12.637499999982538,13.5589000001346,12.752750000800006,13.540150001063012,12.60196352238718,13.670596478119748,5
tensorrt-fp16,batch_medium,5,5,0,0.0,8900.281662084575,8980.178362899635,,,9.2772199997853,9.25690000076429,8.574059999955352,8.472150000670808,0.5808025774840224,8.067400000072666,9.476199998971424,8.091649999187212,8.762900000874652,7.852898349429488,9.295221650481217,5
tensorrt-fp16,batch_short,5,5,0,0.0,6366.725736954875,6609.205649520874,,,7.558066666388186,7.39136666743434,6.969760000720271,6.6635500006668735,0.7091060443019203,6.512700001621852,8.22140000127547,6.618800000069314,6.832349999967846,6.089288554601891,7.8502314468386505,5
tensorrt-fp16,single_long,5,5,0,0.0,8256.569071422564,8197.55168541685,,,3.4895799995865673,3.528599999602496,3.304320000097505,3.294849999292637,0.3626151293117474,2.883549999751267,3.6947499993402744,3.011500000866363,3.6369500012369826,2.8540738488271047,3.754566151367905,5
tensorrt-fp16,single_medium,5,5,0,0.0,9530.610934654924,10201.148339542158,,,2.2726666664918107,2.3018333328460963,2.055560000007972,1.8817000000126427,0.3910346068551879,1.81690000135859,2.739649999057292,1.8208000001322944,2.0187499994790414,1.5700264066241214,2.541093593391823,5
tensorrt-fp16,single_micro,5,5,0,0.0,5491.81114303031,5562.615114349792,,,1.945259999774862,1.660533333051717,1.4679900006740354,1.442450000467943,0.09854441610175303,1.3877499986847397,1.6337500019290019,1.402800000505522,1.4732000017829705,1.3456309469764771,1.5903490543715937,5
tensorrt-fp16,single_short,5,5,0,0.0,7022.967540066231,7054.319377722966,,,1.8324200003310884,1.8187333322809234,1.5745100001367973,1.5646499996364582,0.0423625927662187,1.5373500009445706,1.646200000323006,1.5508499982388457,1.573500001541106,1.5219098938284163,1.6271101064451783,5
tensorrt-fp32,batch_medium,5,5,0,0.0,7274.988367955286,7474.874388874352,,,11.2707066667402,10.781833333264027,10.498879999795463,10.173300001042662,0.8367928369482398,9.852899998804787,11.957149998124805,10.127850000571925,10.383200000433135,9.45986446020204,11.537895539388886,5
tensorrt-fp32,batch_short,5,5,0,0.0,4131.361766886799,4145.708906138283,,,11.669106666522566,11.390533333421141,10.666800000763033,10.63975000033679,0.34502689136454584,10.317050000594463,11.224399999264278,10.462700001880876,10.690100001738756,10.238392531343514,11.095207470182551,5
tensorrt-fp32,single_long,5,5,0,0.0,5215.38473567517,4777.252529661644,,,5.653806667154034,5.882400001913386,5.3418400002556155,5.6524499977967935,0.8936866825475567,3.7587000006169546,5.948200001512305,5.640800001856405,5.709049999495619,4.232181420862156,6.4514985796490745,5
tensorrt-fp32,single_medium,5,5,0,0.0,5223.742533218804,5208.449113690385,,,3.858186666184338,3.768599999602884,3.639619999739807,3.6479499995039077,0.10275170620578486,3.5266000013507437,3.796499999225489,3.572199999325676,3.6548499992932193,3.5120369053900733,3.767203094089541,5
tensorrt-fp32,single_micro,5,5,0,0.0,2657.4403074131646,2687.787952341966,,,3.877693332954853,3.20339999962016,3.0378799991012784,2.977149997605011,0.30489436400031167,2.8031000001647044,3.5652999995363643,2.858800000467454,2.985049997732858,2.6593036440668567,3.4164563541357,5
tensorrt-fp32,single_short,5,5,0,0.0,3485.580495485051,3552.8462577972923,,,3.410286666621687,3.42593333455928,3.1740099995658966,3.101599999354221,0.23024832034625412,2.8734500010614283,3.4556499995233025,3.091249998760759,3.348099999129772,2.888118949545065,3.459901049586728,5
tensorrt-int8,batch_medium,5,5,0,0.0,9463.413741340684,9496.850617203356,,,8.80513333322597,8.769800000057634,8.034750000297208,8.002800001122523,0.14723353464383102,7.860050000090268,8.252050000010058,7.966600000145263,8.092250000117929,7.851935421001676,8.21756457959274,5
tensorrt-int8,batch_short,5,5,0,0.0,6962.96199153727,6864.479228496751,,,7.246986666480855,6.857933333473436,6.3594800001737894,6.409999999959837,0.38018800439549455,5.8156999984930735,6.850949999716249,6.221850000656559,6.498900002043229,5.887414242566969,6.83154575778061,5
tensorrt-int8,single_long,5,5,0,0.0,7181.960236191398,7215.453334159777,,,3.606660000514239,3.5790666685594865,3.8160799998877337,3.742049999345909,0.48489626126548313,3.2192500002565794,4.569549999359879,3.7128000003576744,3.836750000118627,3.2140017694107756,4.418158230364692,5
tensorrt-int8,single_medium,5,5,0,0.0,9118.357343451607,9196.571293066949,,,2.6138533336052205,2.6530999991033846,2.1185899997362867,2.095599998938269,0.17246420375529226,1.9734500001504784,2.3973499992280267,1.9809500008705072,2.145599999494152,1.9044474069544615,2.332732592518112,5
tensorrt-int8,single_micro,5,5,0,0.0,4744.411080806495,4882.21040050012,,,2.1174133335686447,1.92343333401368,1.7206999997142702,1.685949999227887,0.12320930328397911,1.6324999996868428,1.9355499989615055,1.6487499997310806,1.7007500009640353,1.5677154435827843,1.8736845558457562,5
tensorrt-int8,single_short,5,5,0,0.0,5933.989775884902,5600.469101597826,,,2.0353333333332553,2.0886999991489574,1.8950700006826082,1.9950000005337643,0.22751743755659903,1.5844000008655712,2.1265499999572057,1.731800000925432,2.037600001131068,1.6125697895050057,2.177570211860211,5
transformers-gpu-compile,batch_medium,5,5,0,0.0,6807.135547808131,6710.800845536687,,,83.08926666650221,12.338433332236795,11.212789999626693,11.330199999065371,0.7081259529491569,10.451299998749164,11.99215000087861,10.514449999391218,11.775850000049104,10.33353549765599,12.092044501597396,5
transformers-gpu-compile,batch_short,5,5,0,0.0,3402.481457848141,2569.1803299454864,,,84.77926000050503,17.07946666647331,14.202339999974356,17.13749999908032,4.419912664151845,9.259149999707006,17.894149999847286,9.484550000706804,17.236350000530365,8.714293569692115,19.690386430256595,5
transformers-gpu-compile,single_long,5,5,0,0.0,1508.2044399878996,1561.978449266675,,,89.03466666694536,19.120466666208813,17.99230000033276,17.289549999986775,1.4183878291322982,16.483549999975367,19.822250002107467,17.219850000401493,19.146299999192706,16.23113889740879,19.753461103256733,5
transformers-gpu-compile,single_medium,5,5,0,0.0,2208.57182886637,2218.8361510922505,,,80.08816666648879,10.228666666080244,8.617150000281981,8.563049999793293,0.32571272623652986,8.27815000047849,9.137650000411668,8.436250000158907,8.670650000567548,8.212724234357283,9.021575766206679,5
transformers-gpu-compile,single_micro,5,5,0,0.0,1691.4916844454008,2050.2678271261316,,,263.8311133329504,4.174366667333136,17.652309999903082,3.9116999996622326,30.884208515910586,3.637699999671895,72.89915000001201,3.817700000581681,3.995299999587587,-20.69549982732127,56.000119827127435,5
transformers-gpu-compile,single_short,5,5,0,0.0,1255.7180351940524,1337.7354675707552,,,81.67565333351376,11.429233334638411,12.627639999845996,8.223250000810367,10.304533454063744,7.666799998332863,31.056050000188407,7.940900000903639,8.251199998994707,-0.16712820835125974,25.42240820804325,5
