backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu-compile,fp32,single_long,60,0.22879543333402808,0.21023800000818935,0.05400993183247306,0.175165000001698,0.4348250000134612,0.281746999988286,0.3470482499977832,0.4108845700008599
transformers-gpu,fp32,single_long,60,1.8183042833323764,1.7111785000025748,0.29565939562723664,1.5165860000081466,2.957331000004615,2.09154889999752,2.5432989500018266,2.8248400099985806
transformers-gpu-compile,fp32,single_medium,60,0.2226246500005876,0.20572549999542386,0.03848242923004691,0.1934169999913138,0.3764589999946111,0.27636630000813506,0.29942289999951294,0.3419605199908913
transformers-gpu,fp32,single_medium,60,1.6089883333336275,1.5943665000008878,0.09515220313231768,1.363144999999122,1.8146589999901157,1.7424396000109255,1.7735394000013116,1.8137562999950776
transformers-gpu-compile,fp32,single_micro,60,0.24584050000224045,0.23544549999598985,0.033647894608971954,0.2116430000000946,0.4005460000087169,0.2769921999856706,0.30601434999653065,0.3584872600040964
transformers-gpu,fp32,single_micro,60,1.4271402999995075,1.2920619999903238,0.3841737755729171,1.0758200000111628,3.3987220000142315,1.877614999980892,1.9363466499896733,2.89374159000516
transformers-gpu-compile,fp32,single_short,60,0.23256201666868037,0.19362550000323606,0.07425235512971455,0.1737119999916103,0.4828480000185209,0.3408223000093358,0.3978270000075667,0.45329372001305024
transformers-gpu,fp32,single_short,60,1.821907316667648,1.7160209999929066,0.27077259542584287,1.5604570000107287,2.6109009999970567,2.2570475000065926,2.466279650019487,2.596865490007474
transformers-gpu,fp32,stress_single,30,1.6099247666649792,1.6105404999962047,0.1412894542875166,1.3396310000075573,1.8870259999914647,1.7707850000107328,1.8375909499994234,1.881139579988655
transformers-gpu-compile,fp32,stress_single,30,2.2402456666677986,2.2156330000058233,0.1951213524866406,1.941834999996672,2.72954400000458,2.4844000999962645,2.620147249999149,2.71689478000269
