backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold
transformers-gpu-compile,743.27364538161,479507.1029205322,72531,6.611064274869121,0.0,True,,
onnxruntime-cpu,743.273640846967,479507.10247802734,72531,6.611064268768215,-6.100906381145871e-09,True,['CPUExecutionProvider'],0.001
onnxruntime-gpu,743.2701626273044,479506.76306152344,72531,6.611059589162199,-4.685695944121656e-06,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001
tensorrt-fp32,743.2689640025545,479506.6460952759,72531,6.611057976524188,-6.2983250980891135e-06,True,,0.001
tensorrt-fp16,743.2688584554933,479506.63579559326,72531,6.611057834520319,-6.4403280628230165e-06,True,,0.005
tensorrt-int8,743.2688584554933,479506.63579559326,72531,6.611057834520319,-6.4403280628230165e-06,True,,0.02
