scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.054382001006161,1.9394559860229492,2.054382001006161,1,486.76438924710044,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.7567960005399073,2.579967975616455,2.7567960005399073,1,362.73993425852115,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.4407729997619754,2.299776077270508,2.4407729997619754,1,409.70626932431657,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.2949369995330926,2.159679889678955,2.2949369995330926,1,435.7418091230614,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.334019000045373,2.201728105545044,2.334019000045373,1,428.4455267847263,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.3340640000242274,2.201792001724243,2.3340640000242274,1,428.4372664972426,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.3566559993923875,2.2231359481811523,2.3566559993923875,1,424.3300677985367,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.300209000168252,2.169055938720703,2.300209000168252,1,434.74310374703066,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.1862919984414475,2.0600318908691406,2.1862919984414475,1,457.39544430152733,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.232414999525645,2.1031041145324707,2.232414999525645,1,447.94538659365986,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.137510999091319,2.0163838863372803,2.137510999091319,1,467.83384994281283,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.197644000261789,2.0727360248565674,2.197644000261789,1,455.0327532033748,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.1220799990260275,2.000607967376709,2.1220799990260275,1,471.23576889606926,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.1519210004044,2.028991937637329,2.1519210004044,1,464.7010739762635,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.150186999642756,2.0263679027557373,2.150186999642756,1,465.0758283656936,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.1298949995980365,2.008415937423706,2.1298949995980365,1,469.5067128608333,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,2.6662150012271013,2.5227839946746826,2.6662150012271013,1,375.06352621216183,ok,
