backend,backend_kind,batch_size,mode,aggregation,fit,n_models,ok,a_ms,b_ms_per_million_params,r2,overhead_fraction_at_min_model,overhead_fraction_at_max_model,b,s
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,131.50163081542354,1.7661237645967205,0.6087699349640218,0.9366406373086349,0.43658443303635625,,
hf_cpu_fp32,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,149.89020374984398,,0.6387467122614313,0.9870461014499768,0.4790841591615015,0.17457447595037798,1.498054319078006
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,110.33449620073566,1.5102424679675934,0.605967396291342,0.9355045503728721,0.43192012585382,,
hf_cpu_fp32,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,125.04801551694648,,0.6308040263709291,0.9847213079024071,0.4728939736673602,0.18618849515624533,1.4496902125861182
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,23.77089505897991,0.18574814000568696,0.4109694144138827,0.9621329196134105,0.5711532114335793,,
hf_cpu_fp32,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,25.287439551136444,,0.42419770754339303,0.9876221951522186,0.5948340391742754,0.03544097921230237,1.3550593242881646
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,6,True,70.44783517724697,-0.31204029031472325,0.17652247876432203,1.0228186242514343,1.7409827257669277,,
hf_gpu_fp16,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,6,True,54.6665428516386,,-1.1324274851176597e-14,0.9944802728381966,0.9944802728381872,0.30341919257848005,5.840821789256583e-13
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,6,True,61.77967133966843,-0.27811239914868446,0.17853723686972556,1.0231997328756504,1.7622977719162767,,
hf_gpu_fp16,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,6,True,47.52603318906747,,-2.4424906541753444e-15,0.9904415003662693,0.990441500366267,0.4586616884109959,8.146707683966501e-14
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,6,True,8.572944881784162,-0.034183045806800025,0.16729386929047985,1.0204945902873535,1.621099077952517,,
hf_gpu_fp16,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,6,True,6.87590343068159,,-3.774758283725532e-15,0.9997835724176691,0.999783572417666,0.001488457299045971,4.803961740854626e-12
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,3,True,7.178246072958811,0.011992660753452889,0.9979806525760312,0.6906490572475843,0.02784155953515527,,
ollama,ollama,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,3,True,12.703358290838072,,1.0,0.8739318215004795,0.04883870195021099,0.0033775752946101096,1.1260738049287093
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P,3,True,6.957349456624227,0.010100439652530725,0.9990420696095432,0.7198292631347641,0.03190617219841376,,
ollama,ollama,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,3,True,10.2156574689456,,1.0,0.8465844548499661,0.04656593481679051,0.004288375700890788,1.0851937699456407
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P,3,True,0.16604029109031662,0.0018465045209972394,0.9866003502407554,0.2511621034111926,0.004284027975992339,,
ollama,ollama,1,prefill,geomean_across_scenarios,lat = a + b*P^s,3,True,2.2152414824668787,,1.0,0.9575294881084963,0.055843266779617845,4.778796040285766e-05,1.3643463596646148
