scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.97180300090258,96.39401888847351,100.97180300090258,65,643.744075753693,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.95674300059909,94.46809482574463,98.95674300059909,65,656.8526613654461,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.34352900038357,95.79602980613708,100.34352900038357,65,647.7747060276456,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.95309800069663,95.41865837574005,99.95309800069663,65,650.3050060494071,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,102.55751000022428,97.90803408622742,102.55751000022428,65,633.7907384828069,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.63639999953011,96.0708818435669,100.63639999953011,65,645.8895588505103,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,101.46255900053802,96.86076879501343,101.46255900053802,65,640.630402389667,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,117.01823200019135,111.66313910484314,117.01823200019135,65,555.468997343027,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.79124899907765,94.31228613853455,98.79124899907765,65,657.9530136379475,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.82605799996236,95.30080354213715,99.82605799996236,65,651.1325930552573,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.71601800002827,93.28108513355255,97.71601800002827,65,665.1928857762214,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.72526500000822,93.294109582901,97.72526500000822,65,665.1299436230183,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.4994409995561,95.94608175754547,100.4994409995561,65,646.7697666128024,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.13362799963943,95.59494066238403,100.13362799963943,65,649.1325771221838,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.55551799976092,95.04390180110931,99.55551799976092,65,652.9020320114862,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,102.29722599888191,97.64934229850769,102.29722599888191,65,635.403349067456,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.95364600015455,94.44851577281952,98.95364600015455,65,656.8732192030446,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.18263099987234,93.74364721775055,98.18263099987234,65,662.0315562748009,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,96.25940200021432,91.89625585079193,96.25940200021432,65,675.2587139472909,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.56554299969866,95.02176177501678,99.56554299969866,65,652.8362929753391,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.82280400051968,94.34300911426544,98.82280400051968,65,657.7429233809049,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.26612900017062,94.76700711250305,99.26612900017062,65,654.805427135053,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.8815910002595,93.44701027870178,97.8815910002595,65,664.0676692701866,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,110.62147900065611,105.610626578331,110.62147900065611,65,587.5893234044943,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,124.43450699993264,118.79452955722809,124.43450699993264,65,522.3631416005464,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,123.79471700023714,118.15833401679993,123.79471700023714,65,525.0627940760629,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,112.42488000061712,107.32649540901184,112.42488000061712,65,578.1638370407262,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,110.40044199853583,105.39174628257751,110.40044199853583,65,588.7657587535932,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,104.528511999888,99.78489327430725,104.528511999888,65,621.8399052697665,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,108.49308499928156,103.56287920475006,108.49308499928156,65,599.1165243428227,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.11806999985129,92.71427416801453,97.11806999985129,65,669.2884238751814,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.39752100035548,94.89222371578217,99.39752100035548,65,653.9398502681726,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.47031699903164,94.95321500301361,99.47031699903164,65,653.4612732824887,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,101.25903399966774,96.65820956230164,101.25903399966774,65,641.9180337056473,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.7669980002247,93.33948528766632,97.7669980002247,65,664.8460250344458,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.87839000020904,94.37334060668945,98.87839000020904,65,657.3731631336492,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,96.02549100054603,91.67212975025177,96.02549100054603,65,676.9035942719668,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.76982300031523,95.24905490875244,99.76982300031523,65,651.4996022373882,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.4083609996087,95.85763108730316,100.4083609996087,65,647.3564487349147,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.42429999864544,94.89625597000122,99.42429999864544,65,653.7637177318378,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.7991180011013,95.27532684803009,99.7991180011013,65,651.3083612550836,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.09342100056529,95.56028938293457,100.09342100056529,65,649.3933302532731,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,115.31292600011511,110.09740614891052,115.31292600011511,65,563.6835544346096,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,101.26276900064113,96.66131353378296,101.26276900064113,65,641.8943570424038,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.017042999345,93.5718058347702,98.017042999345,65,663.1499789320758,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,111.75092399935238,106.67523539066315,111.75092399935238,65,581.6506716345065,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.80808000000252,95.27673828601837,99.80808000000252,65,651.2498787673138,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.06455899979483,93.62051355838776,98.06455899979483,65,662.8286576003059,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.97727599986683,96.4040002822876,100.97727599986683,65,643.7091846296757,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,98.46483999990596,93.97494101524353,98.46483999990596,65,660.1341148785909,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.95650599942019,96.38105285167694,100.95650599942019,65,643.8416163132003,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,102.17019599895139,97.54185605049133,102.17019599895139,65,636.1933572161016,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,122.18245400072192,116.30358743667603,122.18245400072192,65,531.9912792029529,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,99.78527899966139,95.24093008041382,99.78527899966139,65,651.3986897828945,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,100.09171699948638,95.55603468418121,100.09171699948638,65,649.404385782827,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,97.33600499930617,92.91670298576355,97.33600499930617,65,667.7898892651629,ok,
single_micro,micro,transformers-gpu,models/gpt2-25m:fp32,fp32,101.48717900028714,96.89043068885803,101.48717900028714,65,640.474990440084,ok,
