backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,0.8848919981751135,0.8562015505209418,1.0,nan,nan,nan,nan,nan,nan,8
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,0.8222773003944008,0.852305490625959,1.0,nan,nan,nan,nan,nan,nan,8
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.0655411984730287,0.9192125301371552,1.0,nan,nan,nan,nan,nan,nan,8
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,0.0557404156074591,0.8981314884857572,1.0,nan,nan,nan,nan,nan,nan,8
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,-0.0463048756667588,0.917529332742722,1.0,nan,nan,nan,nan,nan,nan,8
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.560749324689733,0.7646174441681496,1.0,nan,nan,nan,nan,nan,nan,8
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,-0.4825520592777381,0.6738184811550568,0.9485808424616716,0.2457425498922245,1.363308372763779,-3.329687773204056,1.2800019151077435,1000.0,1000.0,8
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,-0.5878577613164802,0.6830298362687497,0.9553596241447296,0.2281828797721651,1.3319329172910612,-3.2673968805119955,1.243374082736022,1000.0,1000.0,8
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.161953518480226,0.6330454714359254,0.8990947645578126,0.0883461411952766,1.565115843977789,-5.01078564474222,0.8753718779759967,1000.0,1000.0,8
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.443652370295443,0.835980732554566,1.0,nan,nan,nan,nan,nan,nan,32
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.4340769129437236,0.83134126987407,1.0,nan,nan,nan,nan,nan,nan,32
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.0656613387335888,0.8947063121149488,1.0,nan,nan,nan,nan,nan,nan,32
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.3140752050687858,0.5270820970559744,1.0,nan,nan,nan,nan,nan,nan,32
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.2834298858440638,0.5349592285923176,1.0,nan,nan,nan,nan,nan,nan,32
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,0.0841049565221195,0.4189088321355382,1.0,nan,nan,nan,nan,nan,nan,32
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.1525160210346706,0.6727265102726354,0.9328492944782858,0.3306134047892889,1.4659905549914185,-3.123138081772947,1.6050777849235554,1000.0,1000.0,32
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.131842581353789,0.6740236319848012,0.9338488170671077,0.3287530774193296,1.4624575985950024,-3.123866504055662,1.5970821295547135,1000.0,1000.0,32
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.132035976943299,0.6303717780279114,0.8966918730222864,0.0932681978885217,1.5707489324203918,-5.015169599953134,0.885347783427863,1000.0,1000.0,32
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.9953504903424464,0.6836353117800024,1.0,nan,nan,nan,nan,nan,nan,64
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.9832562271061256,0.6858588170804819,1.0,nan,nan,nan,nan,nan,nan,64
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,0.3958195805102028,0.6164012094215602,1.0,nan,nan,nan,nan,nan,nan,64
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,0.9668158445528504,0.839707291562289,1.0,nan,nan,nan,nan,nan,nan,64
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,0.9541741583566186,0.8421351329579478,1.0,nan,nan,nan,nan,nan,nan,64
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.6041599944970676,0.7550879507124005,1.0,nan,nan,nan,nan,nan,nan,64
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.4058744960930067,0.690971795536904,0.9172229381753874,0.3685670364577006,1.6032715370061108,-3.36131804342684,1.7825247663988353,1000.0,1000.0,64
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.3939689296472842,0.6920158962333789,0.9178268383369284,0.3676275488009482,1.60205567083319,-3.363891446392785,1.7786117050501875,1000.0,1000.0,64
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.1641305306454033,0.6439163839619299,0.8818492697215432,0.0945669726018235,1.679798135059306,-5.441634762175989,0.9076694562083736,1000.0,1000.0,64
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,2.1819783452084263,0.7286070112349073,1.0,nan,nan,nan,nan,nan,nan,128
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,2.1836236803910944,0.7250426567066,1.0,nan,nan,nan,nan,nan,nan,128
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.236040136553456,0.9409074366485471,1.0,nan,nan,nan,nan,nan,nan,128
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.867187067724392,0.4285372509486249,1.0,nan,nan,nan,nan,nan,nan,128
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.863504979437028,0.428269644109919,1.0,nan,nan,nan,nan,nan,nan,128
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.0487291616362932,0.3747053996531697,1.0,nan,nan,nan,nan,nan,nan,128
