backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold,error
transformers-gpu-compile,50285.80927503612,785182.7589263916,72531,10.825478194515332,0.0,True,,,
onnxruntime-cpu,50285.80791035383,785182.7569580078,72531,10.825478167376815,-2.7138516892723476e-08,True,['CPUExecutionProvider'],0.001,
onnxruntime-gpu,50285.80816424828,785182.7573242188,72531,10.825478172425843,-2.2089489144739614e-08,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001,
tensorrt-fp32,50285.8080796168,785182.7572021484,72531,10.825478170742834,-2.3772498345836878e-08,True,,0.001,
tensorrt-fp16,,,0,,,False,,,set_input_shape_failed:input_ids:4x128
tensorrt-int8,50285.8080796168,785182.7572021484,72531,10.825478170742834,-2.3772498345836878e-08,True,,0.02,
