backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold
transformers-gpu-compile,358.18175353435703,426557.7520599365,72531,5.881040549005757,0.0,True,,
onnxruntime-cpu,358.18079945512267,426557.5588607788,72531,5.881037885328739,-2.6636734700945616e-06,True,['CPUExecutionProvider'],0.001
onnxruntime-gpu,358.18192168435047,426557.7861099243,72531,5.881041018460028,4.6945438114263995e-07,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001
tensorrt-fp32,358.1821085973087,426557.8239593506,72531,5.881041540297949,9.912926835377429e-07,True,,0.001
tensorrt-fp16,358.20262395168686,426561.97814941406,72531,5.8810988149813745,5.8267673112582555e-05,True,,0.005
tensorrt-int8,358.1821085973087,426557.8239593506,72531,5.881041540297949,9.912926835377429e-07,True,,0.02
