language,config_count,avg_baseline_tok_s,avg_chimera_tok_s,avg_throughput_pct,avg_ttft_pct,peak_chimera_tok_s,peak_config
python,18,99.0418,99.1356,0.0952,-9.3934,101.0798,gpu60_ctx512_temp0.8
rust,18,98.7622,98.8978,0.1376,2.1172,99.5023,gpu80_ctx512_temp0.8
