scenario,prompt_set,backend,model,quantization,latency_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4415000000553846,1.4415000000553846,1,693.7218175245082,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.5810000004421454,1.5810000004421454,1,632.5110687668173,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.6229999996539846,1.6229999996539846,1,616.1429452946364,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.6173999997590727,1.6173999997590727,1,618.2762459187336,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.963500000329077,1.963500000329077,1,509.29462685632944,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.608700000360841,1.608700000360841,1,621.6199414282925,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.491999999871041,1.491999999871041,1,670.2412869212022,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.552300000184914,1.552300000184914,1,644.2053725960686,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4465999997810286,1.4465999997810286,1,691.2760957772499,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.8833999997696083,1.8833999997696083,1,530.9546565372876,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.3137000002861896,2.3137000002861896,1,432.20815139227494,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2734000003765686,2.2734000003765686,1,439.8697984667717,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.9388999999137013,1.9388999999137013,1,515.7563567200522,ok,,,0,,scripts/tr120/results/tr120_root_cause/20251221_113136/prefill/runs/single_micro/transformers-gpu/fp32/run_1766334713123.json
