backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,medium,prefill,3,24.111799999748957,22.713800000019543,27.1020199994382,27.492083999386523,748.4436774113258,17.0,17.0,0.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,medium,prefill,3,9.932599999653272,9.285199999794711,11.618449999787115,11.82584999978644,1830.870632875528,17.0,17.0,0.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,medium,prefill,3,30.612466667056044,31.442600000445964,32.82842000007804,32.951604000045336,540.6677564755739,17.0,17.0,0.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,medium,prefill,3,36.0889333336066,36.8852000001425,41.61020000028657,42.030200000299374,460.8894624384393,17.0,17.0,0.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,medium,prefill,3,22.051166666945694,22.19539999987319,22.265060000700032,22.27125200077353,765.9244708406754,17.0,17.0,0.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,medium,prefill,3,59.54436666706897,58.165200000075856,66.23604000069463,66.95344800074963,292.2709798982524,17.0,17.0,0.0,,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,short,prefill,3,12.686000000030617,12.925900000482216,12.982959999499144,12.98803199941176,696.2764681503218,9.0,9.0,0.0,,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,short,prefill,3,8.667033333646637,8.049900000514754,9.742620000088209,9.893084000050294,1118.026310814357,9.0,9.0,0.0,,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,short,prefill,3,36.48686666656431,39.074299999811046,43.36109000041689,43.74213800047074,230.33042178730065,9.0,9.0,0.0,,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,short,prefill,3,30.863533333407158,33.9376000001721,38.14411000012115,38.51802200011662,265.1925887497749,9.0,9.0,0.0,,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,short,prefill,3,20.906633333349117,19.52720000008412,23.417990000052665,23.76383800004987,460.8955713036804,9.0,9.0,0.0,,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,short,prefill,3,53.25506666667934,54.55270000038581,56.39895999938744,56.5630719992987,164.97808540982115,9.0,9.0,0.0,,,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,769.2182999996172,770.0557999996818,770.8531999995103,770.924079999495,188.29804281723472,145.0,17.0,128.0,769.9492974281311,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,236.6402333333705,235.2893999996013,244.8852000001352,245.73816000018266,616.2623560612833,145.0,17.0,128.0,235.1350677013397,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,407.4017999998129,409.59579999980633,416.012889999638,416.583297999623,354.00753621025547,145.0,17.0,128.0,409.5201201438904,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,549.8649000001024,542.0246000003317,571.6985000000022,574.336179999973,267.5155334276549,145.0,17.0,128.0,541.9550948143005,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,1331.5347000003992,1146.053700000266,1649.455110001145,1694.201902001223,126.52112200324152,145.0,17.0,128.0,1145.9492444992063,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,524.3184999999357,524.2677000005642,529.1764800003875,529.6128160003718,276.5762605627697,145.0,17.0,128.0,524.1856245994568,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,771.7157000003377,777.5501000005534,779.3586500005404,779.5194100005392,176.19443428777453,137.0,9.0,128.0,777.4545345306396,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,230.217266666538,230.576399999336,232.4089799997637,232.5718759998017,594.1631493960116,137.0,9.0,128.0,230.42963576316836,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,414.9559999999231,415.06329999992886,415.2200800002902,415.2340160003223,330.07013629011163,137.0,9.0,128.0,414.9606521129608,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,904.4378000001719,786.4011000001483,1251.1541700001544,1292.465554000155,174.2113534683181,137.0,9.0,128.0,786.2415361404419,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,323.40816666722577,321.70790000145644,328.19825000087803,328.7751700008266,425.8521472409592,137.0,9.0,128.0,321.63425278663635,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,501.50323333309643,500.9093999997276,515.077559999645,516.3369519996377,273.5025535557418,137.0,9.0,128.0,500.8486475944519,411.03564453125,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,medium,kv_decode,3,762.7703666663971,763.705100000152,764.3800099996042,764.4400019995555,167.60396126721494,128.0,17.0,128.0,763.6590576171875,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,medium,kv_decode,3,233.9203333334202,231.9878999996945,242.41521000030843,243.342082000363,551.752914700157,128.0,17.0,128.0,231.9226837158203,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,medium,kv_decode,3,403.2916666665187,405.5607000000237,411.67934999966747,412.2232299996358,315.6124348340274,128.0,17.0,128.0,405.5357360839844,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,medium,kv_decode,3,544.6661333335214,536.8039000004501,566.3911299999199,569.0211059998728,238.44834212250075,128.0,17.0,128.0,536.7808227539062,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,medium,kv_decode,3,1321.8806999999895,1137.630199999876,1638.280040000427,1682.782248000476,112.51459393396374,128.0,17.0,128.0,1137.59033203125,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,medium,kv_decode,3,516.4231333331676,516.2523999997575,518.7659200005328,518.9893440006017,247.94073596570232,128.0,17.0,128.0,516.2247314453125,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,short,kv_decode,3,764.9568000000121,770.9236000000601,772.6817500001744,772.8380300001845,166.0346109523564,128.0,9.0,128.0,770.8845825195312,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,short,kv_decode,3,227.70239999984673,228.0243999994127,229.910529999961,230.07818600000974,561.3434351776813,128.0,9.0,128.0,227.957763671875,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,short,kv_decode,3,410.8766999997897,411.05590000006487,411.19764999975814,411.2102499997309,311.39317061251234,128.0,9.0,128.0,410.9977722167969,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,short,kv_decode,3,896.5084999999817,777.7859999996508,1241.7382499999803,1282.9784500000096,164.56968883479192,128.0,9.0,128.0,777.7167358398438,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,short,kv_decode,3,320.0241666669778,318.3897000008073,324.69474000035916,325.2551880003193,402.0230553930464,128.0,9.0,128.0,318.35546875,558.80712890625,,74.825,74.824704
