backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,97.63544056663704,96.3422354998329,6.589996650490304,92.64835700014372,134.84356699973432,101.55112069987808,111.17044429965972,122.8326850703251
transformers-gpu-compile,fp32,single_long,60,105.27418251663221,104.88246300019455,5.129664765939956,98.6647029994856,135.38929100013775,109.77262700043866,110.34237474991642,121.52115987010794
transformers-gpu,fp32,single_medium,60,96.66510251669631,95.99686650017247,4.823139290931841,90.77642099964578,120.89172300056816,100.76752670056521,102.19121039963284,115.80328098029894
transformers-gpu-compile,fp32,single_medium,60,107.17988853339193,105.59194699953878,7.910219647860329,100.2182680003898,150.8379969991438,110.57893329934812,116.66852210032629,139.85251795960716
transformers-gpu,fp32,single_micro,60,101.96813020000566,100.11176249963682,7.10270957217051,95.09835700009717,142.30605000011565,107.73662010005864,110.56728350022239,130.03369187027596
transformers-gpu-compile,fp32,single_micro,60,117.16492780004349,113.54918950019055,15.82584972682062,101.4304420004919,165.87286699996184,138.00661959958234,154.22999720003642,164.18335657024727
transformers-gpu,fp32,single_short,60,106.87803431660541,101.3922049996836,16.597046159953823,91.74698799961334,175.83207099960418,123.50961349939098,134.3626284001402,170.83364468958277
transformers-gpu-compile,fp32,single_short,60,109.15595049999258,103.87349449956672,15.231352320169512,98.91046200027633,188.47287299922755,127.32254009997632,140.28020810060298,165.42149570988826
transformers-gpu,fp32,stress_single,30,95.70159893340436,92.20119350038658,10.952660713455309,86.56276799956686,141.58668099935312,107.47414869938439,111.84057810037302,133.21353361958248
transformers-gpu-compile,fp32,stress_single,30,99.93282079998001,100.03161100030411,3.431395651044099,92.90144700025849,109.1689340000812,103.36196270009168,104.52667424997342,107.85342643002876
