scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.5018649992271094,1.3004800081253052,1.5018649992271094,1,665.8388074258476,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.321885999663209,1.9796160459518433,2.321885999663209,1,430.68436613384574,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,3.892346000611724,3.4168639183044434,3.892346000611724,1,256.9144674812669,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.13672899917583,1.8212800025939941,2.13672899917583,1,468.0050677393885,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.0537820000754436,1.7439680099487305,2.0537820000754436,1,486.9065947424147,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.6706280002836138,1.4576640129089355,1.6706280002836138,1,598.5773013682491,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4230130000214558,1.2306879758834839,1.4230130000214558,1,702.7342687557473,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.6326609993484453,1.4058879613876343,1.6326609993484453,1,612.4970219776643,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4023419998920872,1.2169280052185059,1.4023419998920872,1,713.0928119367114,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.3280140001370455,1.1506240367889404,1.3280140001370455,1,753.0041098187249,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4137150001261034,1.2278079986572266,1.4137150001261034,1,707.3561502217915,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
