timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:04:47.204, 133.18 W, 98 %, 9499 MiB
2025/11/27 17:04:47.360, 132.69 W, 98 %, 9499 MiB
2025/11/27 17:04:47.529, 132.69 W, 98 %, 9499 MiB
2025/11/27 17:04:47.699, 132.69 W, 98 %, 9499 MiB
2025/11/27 17:04:47.868, 132.31 W, 98 %, 9499 MiB
2025/11/27 17:04:48.023, 132.31 W, 98 %, 9499 MiB
2025/11/27 17:04:48.195, 132.31 W, 98 %, 9499 MiB
2025/11/27 17:04:48.366, 131.91 W, 98 %, 9499 MiB
2025/11/27 17:04:48.537, 131.91 W, 98 %, 9499 MiB
2025/11/27 17:04:48.692, 131.91 W, 98 %, 9499 MiB
2025/11/27 17:04:48.878, 131.74 W, 98 %, 9499 MiB
2025/11/27 17:04:49.049, 131.74 W, 98 %, 9499 MiB
2025/11/27 17:04:49.220, 131.74 W, 98 %, 9499 MiB
2025/11/27 17:04:49.391, 132.97 W, 100 %, 9499 MiB
2025/11/27 17:04:49.561, 132.97 W, 100 %, 9499 MiB
2025/11/27 17:04:49.731, 132.97 W, 100 %, 9499 MiB
2025/11/27 17:04:49.901, 133.80 W, 100 %, 9499 MiB
2025/11/27 17:04:50.074, 133.80 W, 100 %, 9499 MiB
2025/11/27 17:04:50.247, 133.80 W, 100 %, 9499 MiB
2025/11/27 17:04:50.416, 132.70 W, 98 %, 9499 MiB
2025/11/27 17:04:50.573, 132.70 W, 98 %, 9499 MiB
2025/11/27 17:04:50.729, 132.70 W, 98 %, 9499 MiB
2025/11/27 17:04:50.885, 132.46 W, 98 %, 9499 MiB
2025/11/27 17:04:51.055, 132.46 W, 98 %, 9499 MiB
2025/11/27 17:04:51.227, 132.46 W, 98 %, 9499 MiB
2025/11/27 17:04:51.398, 133.96 W, 100 %, 9499 MiB
2025/11/27 17:04:51.569, 133.96 W, 100 %, 9499 MiB
2025/11/27 17:04:51.724, 133.96 W, 100 %, 9499 MiB
2025/11/27 17:04:51.894, 134.96 W, 100 %, 9499 MiB
2025/11/27 17:04:52.064, 134.96 W, 100 %, 9499 MiB
2025/11/27 17:04:52.234, 134.96 W, 100 %, 9499 MiB
2025/11/27 17:04:52.388, 134.81 W, 100 %, 9499 MiB
2025/11/27 17:04:52.559, 134.81 W, 100 %, 9499 MiB
2025/11/27 17:04:52.730, 134.81 W, 100 %, 9499 MiB
2025/11/27 17:04:52.900, 134.52 W, 100 %, 9499 MiB
2025/11/27 17:04:53.070, 134.52 W, 100 %, 9499 MiB
2025/11/27 17:04:53.240, 134.52 W, 100 %, 9499 MiB
2025/11/27 17:04:53.397, 133.91 W, 99 %, 9499 MiB
2025/11/27 17:04:53.566, 133.91 W, 99 %, 9499 MiB
2025/11/27 17:04:53.737, 133.91 W, 99 %, 9499 MiB
2025/11/27 17:04:53.906, 133.32 W, 99 %, 9499 MiB
2025/11/27 17:04:54.076, 133.32 W, 99 %, 9499 MiB
2025/11/27 17:04:54.247, 133.32 W, 99 %, 9499 MiB
2025/11/27 17:04:54.419, 133.63 W, 99 %, 9499 MiB
2025/11/27 17:04:54.590, 133.63 W, 99 %, 9499 MiB
2025/11/27 17:04:54.761, 133.63 W, 99 %, 9499 MiB
2025/11/27 17:04:54.932, 134.22 W, 99 %, 9499 MiB
2025/11/27 17:04:55.101, 134.22 W, 99 %, 9499 MiB
2025/11/27 17:04:55.270, 134.22 W, 99 %, 9499 MiB
2025/11/27 17:04:55.440, 133.86 W, 99 %, 9499 MiB
2025/11/27 17:04:55.626, 133.86 W, 99 %, 9499 MiB
2025/11/27 17:04:55.797, 142.05 W, 99 %, 9499 MiB
2025/11/27 17:04:55.968, 142.05 W, 99 %, 9499 MiB
2025/11/27 17:04:56.139, 142.05 W, 99 %, 9499 MiB
2025/11/27 17:04:56.309, 141.93 W, 97 %, 9499 MiB
2025/11/27 17:04:56.477, 141.93 W, 97 %, 9499 MiB
2025/11/27 17:04:56.634, 141.93 W, 97 %, 9499 MiB
2025/11/27 17:04:56.804, 133.80 W, 97 %, 9499 MiB
2025/11/27 17:04:56.973, 133.80 W, 97 %, 9499 MiB
2025/11/27 17:04:57.143, 133.80 W, 97 %, 9499 MiB
