latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
3.883135999785736,1,257.52381581669505,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
4.122429003473371,1,242.57543287160203,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.8174590008566156,1,261.9543522996857,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.833698996459134,1,260.84468314377733,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.658364999864716,1,273.34615327802976,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.7065779979457147,1,269.79062643608927,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.672051003377419,1,272.32737210900297,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.568715001165401,1,280.2129056742944,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.6199149981257506,1,276.24958058898085,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.607859995099716,1,277.1726179392284,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.5887890044250526,1,278.64552604429485,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.5677510022651404,1,280.2886186185939,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
4.13883599685505,1,241.61382590657453,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.8506740020238794,1,259.6947961511177,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.5021799994865432,1,285.5364373466271,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.5428800038062036,1,282.2562432048715,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
4.156766000960488,1,240.57163664467373,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.884945996105671,1,257.4038354722087,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.820178004389163,1,261.7679068491201,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.610446998209227,1,276.97401471230506,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.7405299954116344,1,267.3417941379061,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.587972001696471,1,278.7089753005816,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.6423749988898635,1,274.546140994484,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.579673997592181,1,279.3550476028366,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.728718002093956,1,268.1886909759399,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.6682739955722354,1,272.6077717223531,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.650247999757994,1,273.95398889782246,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.4576449979795143,1,289.2141907524784,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
4.093724004633259,1,244.27636031842997,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
3.6035229932167567,1,277.50620764246327,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32,,,
1.8436550017213449,1,542.400828282049,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7281800028285943,1,578.6434273994911,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7586530011612922,1,568.617003661137,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.759922000928782,1,568.2069997830924,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.750499002810102,1,571.2656781835838,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.757819001795724,1,568.8867846908222,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7448360013077036,1,573.1197655542006,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7423669996787794,1,573.9318984946103,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.8072489983751439,1,553.3271845213786,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
2.2162109962664545,1,451.22057497442825,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7268609954044223,1,579.0854056355619,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7598799968254752,1,568.2205615177343,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7579980049049482,1,568.8288594241426,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7523019996588118,1,570.6778855441063,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7302759952144697,1,577.9424801394467,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.754136996169109,1,570.0809014255544,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7335489974357188,1,576.8513041622757,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.73467599961441,1,576.4765294627259,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.87926999933552,1,532.1215154573766,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7374899980495684,1,575.5428814684154,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.730077994579915,1,578.0086233874172,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7613180025364272,1,567.7566450578071,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7328300018562004,1,577.0906545528437,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7491160033387132,1,571.7173692832263,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7241460009245202,1,579.9972853016976,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7366750034852885,1,575.8129747898287,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.724739995552227,1,579.7975361960689,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.7582709988346323,1,568.7405415108318,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.738908002153039,1,575.0735511952583,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.6990529984468594,1,588.5631589562664,ok,single_micro,micro,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.7818760029040277,9,2379.771307438181,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8001909997547045,11,2894.591350989998,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.983618000347633,9,2259.2527695212266,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
4.214365006191656,11,2610.120382035973,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
4.32172399450792,9,2082.5022633183585,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
4.427838000992779,11,2484.282396405121,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
