backend,quantization,scenario,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p90,p95,p99
transformers-gpu,fp32,single_long,60,98.74938873327513,96.87269699998068,6.742470152012494,91.7743199997858,138.74581200025204,105.59296510027707,108.50761940050688,122.84514798014233
transformers-gpu-compile,fp32,single_long,60,107.59650288334039,106.03792050005723,8.425254991289997,99.58620999987032,165.3226309999809,111.96317730014016,114.38877225009492,136.85068948010195
transformers-gpu,fp32,single_medium,60,101.06618253333484,98.02892849984346,13.092942987368739,89.15586300008727,179.23466800039023,108.92690409996248,121.07280559951047,155.67654915019816
transformers-gpu-compile,fp32,single_medium,60,104.8417446333436,103.11443999967196,5.880109978309328,98.0052049999358,125.49962200000664,113.94051869956456,116.16496394999557,122.2388666401548
transformers-gpu,fp32,single_micro,60,99.6998652166667,98.4588649998841,6.114817414725309,91.36625700011793,124.70595000013418,107.40403009954207,109.22062099980396,116.35264680996892
transformers-gpu-compile,fp32,single_micro,60,108.03815860000061,105.48347000008107,9.075330780422325,96.73257099984768,146.3825719997658,116.5985362002175,128.29319610002582,138.74805046996693
transformers-gpu,fp32,single_short,60,101.20015433327201,100.40085250034281,5.077800859387021,92.03445899993312,121.17118700007268,106.67496259979998,107.58763400026508,116.20476701016737
transformers-gpu-compile,fp32,single_short,60,106.87088256669692,104.9254069998824,7.40467463907175,100.28858199984823,151.62581399999908,112.15863140018882,114.55217065004034,135.18593423011217
transformers-gpu,fp32,stress_single,30,99.0038370000093,98.69575400011854,3.6174100557320195,94.7900020000816,112.67680500031928,102.33364000009715,103.53195094994588,110.05802641017908
transformers-gpu-compile,fp32,stress_single,30,107.61783766671822,107.46669500008466,2.9900524240153628,101.46365800028434,115.2796699998362,110.26529569990089,112.28200255038699,114.82715052000005
