backend,backend_kind,batch_size,mode,aggregation,fit,n_models,ok,a_ms,b_ms_per_million_params,r2,overhead_fraction_at_min_model,overhead_fraction_at_max_model,b,s
hf_gpu_fp16_bs1,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P,7,True,380.3395514444519,0.18679143141485147,0.0012354662472131572,0.9999495578957632,0.9549359417035227,,
hf_gpu_fp16_bs1,hf,1,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,7,True,7.057113973878402e-11,,0.032271868998020814,2.1679894087899722e-13,1.7101526885319054e-13,352.24285371435826,0.034675479133517775
hf_gpu_fp16_bs1,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P,7,True,374.03789704706395,0.16579146591252117,0.0010080535674577007,0.9999544743206434,0.9591489502527328,,
hf_gpu_fp16_bs1,hf,1,kv_decode,geomean_across_scenarios,lat = a + b*P^s,7,True,9.797292575047484e-11,,0.03191420725970906,3.0636927429525744e-13,2.4197482956852734e-13,345.90037402287976,0.03449128324319074
hf_gpu_fp16_bs1,hf,1,prefill,geomean_across_scenarios,lat = a + b*P,7,True,7.076880032988214,-0.022552255243275338,0.07209619364398556,1.0003274311287338,1.4413574212457723,,
hf_gpu_fp16_bs1,hf,1,prefill,geomean_across_scenarios,lat = a + b*P^s,7,True,5.808734315889391,,-7.966960424710123e-13,0.9494942139004303,0.9494942136799509,0.3089799695683217,6.720634786842965e-10
hf_gpu_fp16_bs8,hf,8,e2e_kv,geomean_across_scenarios,lat = a + b*P,7,True,397.56459080433507,0.5662387641145774,0.010939586564662984,0.9998537290730856,0.8796192058381939,,
hf_gpu_fp16_bs8,hf,8,e2e_kv,geomean_across_scenarios,lat = a + b*P^s,7,True,1.0166807453372111e-10,,0.07768087233716925,3.151511838433215e-13,2.203711101133389e-13,363.3711025791664,0.052292878370042435
hf_gpu_fp16_bs8,hf,8,kv_decode,geomean_across_scenarios,lat = a + b*P,7,True,389.5704124762955,0.5456467969937829,0.010488002215996661,0.9998561556486996,0.8813796348056339,,
hf_gpu_fp16_bs8,hf,8,kv_decode,geomean_across_scenarios,lat = a + b*P^s,7,True,1.0838075189609134e-10,,0.07593936614082752,3.4252296831953245e-13,2.4011038541321794e-13,356.1115589976421,0.05192750834098918
hf_gpu_fp16_bs8,hf,8,prefill,geomean_across_scenarios,lat = a + b*P,7,True,7.52554681095897,0.02294327290956906,0.07125518526847119,0.9996869519696993,0.7734273696958,,
hf_gpu_fp16_bs8,hf,8,prefill,geomean_across_scenarios,lat = a + b*P^s,7,True,1.613801948456285e-11,,0.18488832075684036,2.6748141918945424e-12,1.6967436347873169e-12,7.0196840550410755,0.06653472400653183
