backend,backend_kind,model,model_kind,params_millions,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,medium,e2e_kv,3,1031.492566666581,1032.2866999997586,1034.6441599999253,1034.85371199994,78.46657328823372,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,medium,e2e_kv,3,970.0257333333108,977.0346000000244,977.8810499998825,977.9562899998699,82.90392172395734,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,medium,e2e_kv,3,1312.8267333331678,1306.2221000000136,1326.4131499997347,1328.20790999971,62.01089385947394,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,medium,e2e_kv,3,1747.216000000056,1736.3796000001912,1783.8018599999486,1788.017171999927,46.648785783932894,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,medium,e2e_kv,3,1950.4861999999623,1940.50389999984,2092.242730000112,2105.730626000136,41.74173522661134,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,medium,e2e_kv,3,2225.1574333333033,2201.7358999999037,2274.79366999994,2281.2876939999433,36.78915350383466,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,medium,e2e_kv,3,183.2175666667505,183.0208000001221,188.26086999999916,188.72665399998823,442.5726474802097,81.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,micro,e2e_kv,3,1096.4340333333287,1087.6796999998533,1115.668800000094,1118.1567200001155,59.76024007803839,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,micro,e2e_kv,3,956.4154666666885,955.5740000000696,961.572590000037,962.1057980000342,68.0219428322613,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,micro,e2e_kv,3,1451.644333333282,1452.1326999999928,1458.149469999853,1458.6842939998405,44.76174939108549,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,micro,e2e_kv,3,2189.4373666667284,2190.135700000156,2326.3284699999986,2338.4344939999846,29.678526312317263,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,micro,e2e_kv,3,2450.6878666665366,2442.7363999998306,2466.2868799999615,2468.380255999973,26.609502359732517,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,micro,e2e_kv,3,2560.5207333333055,2530.8940999998413,2631.8721199999345,2640.847943999943,25.68262338594257,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,micro,e2e_kv,3,192.28163333332304,193.64139999970573,195.13783000011244,195.2708460001486,335.6720205498348,65.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,short,e2e_kv,3,1266.7615666666736,1265.8252000001085,1278.1385499999717,1279.2330699999595,57.669889965845,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,short,e2e_kv,3,1000.1203999999385,995.4703000000792,1008.1575999998677,1009.2853599998489,73.33217274286757,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,short,e2e_kv,3,1290.992533333262,1288.0616999998438,1336.2227700000176,1340.503754000033,56.67430372319032,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,short,e2e_kv,3,1627.9804999999972,1607.503700000052,1726.3415000000125,1736.904860000009,45.4120261122868,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,short,e2e_kv,3,2237.87606666671,2288.524500000221,2525.119110000037,2546.1497420000205,31.89828205902665,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,short,e2e_kv,3,2509.639033333239,2508.5231999999,2582.405729999982,2588.9730659999896,29.100787267984177,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,short,e2e_kv,3,197.719999999966,194.09249999989697,207.86952000016754,209.0941440001916,376.1093293148306,73.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,medium,kv_decode,3,1001.2532999999925,1002.5154999998448,1003.9565799999308,1004.0846759999384,63.83941195922647,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,medium,kv_decode,3,949.7852999998789,956.5838999999414,958.1398199998603,958.278123999853,66.90474301313655,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,medium,kv_decode,3,1278.526133333268,1268.393599999854,1296.0325999998531,1298.489399999853,50.45752359520528,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,medium,kv_decode,3,1709.179899999981,1702.0431000000826,1744.1658899999084,1747.9101379998929,37.60186801379877,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,medium,kv_decode,3,1908.7008333332658,1893.4985999999296,2049.9330899999904,2063.838377999996,33.799866553903115,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,medium,kv_decode,3,2176.351499999934,2151.8621999998686,2227.5310499999023,2234.2571699999053,29.74168141436004,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,medium,kv_decode,3,178.65826666669213,178.82650000001377,183.5195499999827,183.93670999997994,357.8887916499796,64.0,17.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,micro,kv_decode,3,1079.7845333333196,1071.7098999998598,1098.747340000068,1101.1506680000866,59.71765307011569,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,micro,kv_decode,3,942.2426666666676,941.7813000000024,946.3343099999973,946.7390219999969,67.95632913925965,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,micro,kv_decode,3,1431.2563333333703,1431.423200000154,1438.228550000008,1438.833469999995,44.71074661916414,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,micro,kv_decode,3,2155.117533333396,2155.741100000114,2290.0138999999854,2301.949259999974,29.688166171715437,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,micro,kv_decode,3,2413.473166666563,2408.2469999998466,2427.7863599999137,2429.5231919999196,26.575347130092585,64.0,1.0,64.0,,,
