latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization
3.6928289991919883,1,270.79510050934005,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
4.167416998825502,1,239.95678864913899,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.787063997151563,1,264.05679987244713,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.722966997884214,1,268.60297192220787,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
4.1143449998344295,1,243.05205325276376,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.746219997992739,1,266.935738033487,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.695155999594135,1,270.6245690600984,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.6566739981935825,1,273.47256017189545,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.9593410001543816,1,252.56728328300298,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.7291629996616393,1,268.1566882677785,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.638964997662697,1,274.80341268528247,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.680173002067022,1,271.72635618986817,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
4.126834999624407,1,242.3164483414075,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.661570000986103,1,273.1068912326375,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.7084550021972973,1,269.6540741110489,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.63529300011578,1,275.0809907119319,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.8297099999908824,1,261.11637695866807,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.7634069994965103,1,265.71667644073193,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.6608730006264523,1,273.1588885571499,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.642807998403441,1,274.51350728291936,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.940079997846624,1,253.80195339854293,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.8803389979875647,1,257.70944253031075,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.784661999816308,1,264.22438781812906,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.610167997976532,1,276.99541975899496,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
3.9622449985472485,1,252.38217232065372,ok,single_micro,micro,transformers-gpu,models/gpt2-100m,fp32
