backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,409.76654400313987,435.9527000001435,98.7706993105827,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,1262.1959756064207,1231.2485000002198,32.06548657059827,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,394.8881075948878,418.783699999949,81.03561334095302,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,1208.7954246948404,1177.994900000158,26.472634944062904,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,3,15.32265445394382,14.972599999964586,349.0570943380342,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,3,51.07949114755349,53.25360000006185,104.7089765594803,,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,e2e_kv,3,112.47380738651398,144.19889999999214,359.84314077842475,255.671875,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,e2e_kv,3,228.6153477959062,286.1278000000312,177.03504377756187,257.25927734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,kv_decode,3,107.50286348308096,139.69589999987875,297.66648964691285,255.671875,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,kv_decode,3,220.840041827197,276.53559999998834,144.9012585545485,257.25927734375,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,prefill,3,4.675534180097434,5.1513000003069465,1143.9294496031057,255.671875,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,prefill,3,8.2160520551654,9.592200000042794,650.9794735145084,257.25927734375,,96.088,96.08832
ollama,ollama,gemma3:270m,ollama,268.1,e2e_kv,3,67.90117107510855,68.6615,720.9350564236619,,152.7806,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,e2e_kv,3,368.21204423306654,367.2813,189.27653948211585,,122.6825,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,e2e_kv,3,1622.391154577466,1580.0445,76.13097997550399,,242.8492,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,kv_decode,3,65.1740730929507,65.8041,490.99279025206704,,152.7806,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,kv_decode,3,356.1712190324656,355.1287,89.84442956094995,,122.6825,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,kv_decode,3,1563.7389690627658,1524.0976,20.46377345138322,,242.8492,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,prefill,3,2.837695134557805,2.8574,5708.1745001869385,,152.7806,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,prefill,3,12.039659568244375,12.1023,3108.8995305506387,,122.6825,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,prefill,3,58.97875040902057,57.6806,1550.7383807885108,,242.8492,20900.0,20900.0
