backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.4436523702954427,0.835980732554566,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,medium,scenario,2,True,1.241763986618475,0.9323695663486223,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,micro,scenario,2,True,1.3588240334876094,0.9254096064915684,1.0,,,,,,
hf_cpu_fp32,hf,e2e_kv,short,scenario,2,True,1.7303690907802494,0.6501630248235031,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.4340769129437236,0.83134126987407,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,medium,scenario,2,True,1.2234943935642628,0.9318991346306289,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,micro,scenario,2,True,1.3564949022539032,0.9186286704899718,1.0,,,,,,
hf_cpu_fp32,hf,kv_decode,short,scenario,2,True,1.7222414430130077,0.6434960045016079,1.0,,,,,,
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,2,True,-0.06566133873358888,0.8947063121149488,1.0,,,,,,
hf_cpu_fp32,hf,prefill,medium,scenario,2,True,-0.14301722337762218,0.9428526326986224,1.0,,,,,,
hf_cpu_fp32,hf,prefill,micro,scenario,2,True,-0.3363452670683401,1.0502160210493852,1.0,,,,,,
hf_cpu_fp32,hf,prefill,short,scenario,2,True,0.2823784742451925,0.6910502825968398,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,2,True,1.3140752050687858,0.5270820970559744,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,medium,scenario,2,True,1.350072999174763,0.5785137809140224,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,micro,scenario,2,True,2.280359488790557,-0.07902404985859901,1.0,,,,,,
hf_gpu_fp16,hf,e2e_kv,short,scenario,2,True,0.31179312724103914,1.0817565601124988,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,2,True,1.2834298858440638,0.5349592285923176,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,medium,scenario,2,True,1.3379674521019151,0.5773174444268827,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,micro,scenario,2,True,2.263561080366192,-0.0785185611809154,1.0,,,,,,
hf_gpu_fp16,hf,kv_decode,short,scenario,2,True,0.24876112506408235,1.1060788025309882,1.0,,,,,,
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,2,True,0.08410495652211956,0.4189088321355382,1.0,,,,,,
hf_gpu_fp16,hf,prefill,medium,scenario,2,True,-0.13199013415374994,0.6035585195193278,1.0,,,,,,
hf_gpu_fp16,hf,prefill,micro,scenario,2,True,0.8231248006421764,-0.06340996705662702,1.0,,,,,,
hf_gpu_fp16,hf,prefill,short,scenario,2,True,-0.4388197969220668,0.7165779439439133,1.0,,,,,,
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.15251602103467068,0.6727265102726354,0.9328492944782858,0.33061340478928897,1.4659905549914183,-3.123138081772947,1.6050777849235554,1000.0,1000.0
ollama,ollama,e2e_kv,medium,scenario,3,True,0.13588071300027374,0.680565582249711,0.9276273826518623,0.33103830618707575,1.5160339721894212,-3.314049329199315,1.6177196026865008,1000.0,1000.0
ollama,ollama,e2e_kv,micro,scenario,3,True,0.1334651398859211,0.6752186747296054,0.937783833181681,0.330330119731942,1.4395899903773341,-3.0228811647768077,1.5981790928372406,1000.0,1000.0
ollama,ollama,e2e_kv,short,scenario,3,True,0.18820221021781797,0.6623952738385895,0.9330303272590846,0.33047178844884917,1.4423477024074995,-3.0324837513427205,1.5993346592469253,1000.0,1000.0
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.131842581353789,0.6740236319848012,0.9338488170671075,0.3287530774193296,1.4624575985950024,-3.123866504055662,1.5970821295547137,1000.0,1000.0
ollama,ollama,kv_decode,medium,scenario,3,True,0.11402442436312836,0.682111122452489,0.9289192371580762,0.329193241652349,1.5113924259375924,-3.310357056466024,1.6095396596523213,1000.0,1000.0
ollama,ollama,kv_decode,micro,scenario,3,True,0.1072302588709724,0.677873067946045,0.9391827438694377,0.3284769317757353,1.4360078467037773,-3.0233632869379625,1.5902003394128468,1000.0,1000.0
ollama,ollama,kv_decode,short,scenario,3,True,0.17427306082726526,0.6620867055558693,0.9333031474796656,0.32858905882990425,1.439972523143642,-3.0378791687630207,1.5915063895989745,1000.0,1000.0
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.132035976943299,0.6303717780279114,0.8966918730222864,0.09326819788852178,1.5707489324203918,-5.015169599953134,0.885347783427863,1000.0,1000.0
ollama,ollama,prefill,medium,scenario,3,True,-1.1573467521988083,0.6400049159731536,0.8826365979419545,0.09388700709251996,1.6657002283015108,-5.392787751229597,0.901640451920755,1000.0,1000.0
ollama,ollama,prefill,micro,scenario,3,True,-1.100022665672365,0.6215320382507319,0.8977101473131897,0.09522268731571448,1.5436180018530177,-4.90762580856523,0.8805148846571246,1000.0,1000.0
ollama,ollama,prefill,short,scenario,3,True,-1.138738512958727,0.6295783798598501,0.909402918983445,0.09069489925733076,1.5029285671066457,-4.745095240064566,0.8738880137057095,1000.0,1000.0
