backend,backend_kind,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,e2e_kv,2,886.8224860168815,887.0003000006363,86.709612036601,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,e2e_kv,2,1090.6962326878886,1090.7068500000605,70.50178721013529,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,e2e_kv,2,1703.8014904937568,1720.769300000029,45.13203805542719,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,e2e_kv,2,1557.4600757407277,1567.9759000004196,49.37271581185545,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,e2e_kv,2,2098.262948425033,2098.2757499996296,36.64747250366136,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,e2e_kv,2,2411.9091648906397,2411.9527500001823,31.881811648302442,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,kv_decode,2,863.23124557803,863.4667000001173,74.14004106992773,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,kv_decode,2,1065.5597765443463,1065.5672500001856,60.062327246956166,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,kv_decode,2,1667.0269446192651,1684.094400000049,38.39170098994236,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,kv_decode,2,1525.8201267718457,1536.3947499999995,41.94465578023527,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,kv_decode,2,2056.6721931322677,2056.672499999877,31.118230806888754,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,kv_decode,2,2358.227992282055,2358.357900000101,27.13902142178681,,,96.088,96.08832
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.03672,prefill,2,22.062964687404932,22.094299999935174,560.6371152791737,,,5.037,5.03672
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.016064,prefill,2,24.43133542936954,24.43159999984346,506.2890202057278,,,25.016,25.016064
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.1712,prefill,2,32.08209046445102,32.62850000010076,385.55208522209506,,,45.171,45.1712
hf_cpu_fp32,hf,models/gpt2-50m,hf,51.475968,prefill,2,32.98828825798504,33.11325000049692,374.96085823303986,,,51.476,51.475968
hf_cpu_fp32,hf,models/gpt2-75m,hf,74.824704,prefill,2,42.509498446311284,43.07840000001306,290.9777186027073,,,74.825,74.824704
hf_cpu_fp32,hf,models/gpt2-100m,hf,96.08832,prefill,2,51.372765560643245,52.11684999994759,240.77576400381938,,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,e2e_kv,2,525.5366949039573,550.476150000577,146.31905717242196,579.286865234375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,e2e_kv,2,164.83335563069525,173.26100000036604,466.50772480869256,630.822021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,e2e_kv,2,203.01699941037776,203.18520000046192,378.76647734518264,520.245361328125,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,e2e_kv,2,267.46733661346275,267.46784999977535,287.4969133856747,474.005615234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,e2e_kv,2,165.55706522352168,165.59405000043625,464.4684514311665,594.964111328125,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,e2e_kv,2,332.896017980497,345.56605000034324,230.99114905112128,308.981201171875,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,kv_decode,2,517.0805284061595,541.8782500005364,123.771823698859,579.286865234375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,kv_decode,2,161.23408362795607,169.36150000037742,396.9384050811396,630.822021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,kv_decode,2,198.4575150955149,198.6523999999008,322.48715786448116,520.245361328125,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,kv_decode,2,262.36172379714645,262.3620999997911,243.93802218453067,474.005615234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,kv_decode,2,161.91187083415178,161.94995000023482,395.2767617981264,594.964111328125,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,kv_decode,2,323.6487324651354,336.6510000000744,197.74525150316887,308.981201171875,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,prefill,2,10.054546259679324,10.81449999992401,1230.2212906868142,579.286865234375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,prefill,2,3.6787342050461516,3.964800000176183,3362.3839580162853,630.822021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,prefill,2,3.8015892681192534,3.8076500004535774,3253.7225892823562,520.245361328125,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,prefill,2,5.096850615510414,5.09734999968714,2426.854897259781,474.005615234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,prefill,2,3.5189559875459047,3.519000000324013,3515.053021586456,594.964111328125,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,prefill,2,7.044217170073028,7.5757499998871936,1755.9533697233733,308.981201171875,,96.088,96.08832
ollama,ollama,gemma3:270m,ollama,268.1,e2e_kv,2,138.5464790336682,138.57806666666667,612.8328253500869,,152.09225,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,e2e_kv,2,739.9602133856031,740.0076514285715,143.14891462917643,,135.9807,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,e2e_kv,2,3707.996883029164,3709.42075,43.00478105902629,,250.91425,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,kv_decode,2,136.15098847598077,136.18081666666666,470.06636320742246,,152.09225,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,kv_decode,2,728.3521013822316,728.3980514285715,87.86958928043701,,135.9807,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,kv_decode,2,3642.60779003376,3644.00245,17.569830102243017,,250.91425,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,prefill,2,2.2786137013544,2.2809,9047.399353314904,,152.09225,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,prefill,2,11.864299643046785,11.87035,3523.9408290936426,,135.9807,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,prefill,2,65.38892260008569,65.4183,1459.5108548767564,,250.91425,20900.0,20900.0
