backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold
transformers-gpu-compile,536.8282185134373,455906.522064209,72531,6.285678152296383,0.0,True,,
onnxruntime-cpu,536.8274973057235,455906.42462158203,72531,6.285676808834595,-1.3434608855070515e-06,True,['CPUExecutionProvider'],0.001
onnxruntime-gpu,536.8248184216959,455906.0626754761,72531,6.285671818608265,-6.333668060092708e-06,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001
tensorrt-fp32,536.8248806489466,455906.07108306885,72531,6.285671934525498,-6.217751555350389e-06,True,,0.001
tensorrt-fp16,536.8246091529725,455906.03440093994,72531,6.285671428781348,-6.7234924326221005e-06,True,,0.005
tensorrt-int8,536.8248806489466,455906.07108306885,72531,6.285671934525498,-6.217751555350389e-06,True,,0.02
